ticker,buy,stop,sell
1301,2861.5,2796.0,
1324,128.0,125.0,
1326,13610.0,13560.0,
1333,,4055.0,
1345,1908.5,1890.0,
1357,1205.0,1166.0,
1360,2887.0,2791.0,
1366,3140.0,3040.0,
1377,3840.0,3745.0,
1379,,1999.0,
1380,901.0,880.0,
1383,2476.5,2444.0,
1384,601.5,598.0,
1398,,1926.0,
1418,209.0,202.0,
1420,825.0,813.0,
1435,262.0,252.0,
1443,239.0,225.0,
1447,398.0,390.0,
1456,6920.0,6850.0,
1459,4470.0,4375.0,
1466,4860.0,4750.0,
1476,1936.0,1923.0,
1488,,1933.0,
1492,13305.0,13250.0,
1518,1304.5,1283.0,
1552,10320.0,10170.0,
1563,2448.0,2411.0,
1569,3230.0,3170.0,
1591,,14410.0,
1597,1914.5,1902.0,
1615,160.0,157.0,
1618,12145.0,11820.0,
1627,8280.0,8180.0,
1662,2398.0,2345.0,
1689,4.0,3.0,
1719,767.0,752.0,
1722,798.0,784.0,
1723,2699.0,2600.0,
1724,524.0,517.0,
1770,789.5,780.0,
1775,1871.0,1864.0,
1776,749.5,735.0,
1793,5040.0,4915.0,
1803,979.0,961.0,
1812,1634.0,1613.0,
1827,482.0,473.0,
1835,3040.0,3000.0,
1840,163.5,161.0,
1848,496.0,476.0,
1850,422.0,413.0,
1852,2504.0,2454.0,
1861,3467.5,3430.0,
1867,2339.5,2325.0,
1879,,993.0,
1888,1484.0,1468.0,
1898,593.0,585.0,
1914,380.0,375.0,
1934,,848.0,
1939,2733.0,2701.0,
1942,963.0,953.0,
1944,1877.0,1814.0,
1945,985.0,960.0,
1949,,1909.0,
1960,675.0,665.0,
1964,1799.0,1771.0,
1966,652.0,643.0,
1972,2802.0,2786.0,
1976,758.0,746.0,
1983,2001.0,1973.0,
2001,,1955.0,
2002,2501.0,2467.0,
2034,10455.0,10420.0,
2036,10270.0,10190.0,
2039,6895.0,6870.0,
2060,176.0,173.0,
2114,576.0,569.0,
2117,2074.0,2041.0,
2121,2593.0,2559.0,
2127,3042.5,2952.0,
2130,1661.0,1650.0,
2152,,899.0,
2157,1624.0,1564.0,
2158,535.0,520.0,
2160,2831.0,2728.0,
2162,439.5,431.0,
2163,916.0,890.0,
2164,1083.0,973.0,
2183,1376.0,1351.0,
2191,262.0,253.0,
2193,272.5,268.0,
2198,767.0,761.0,
2201,4802.5,4690.0,
2204,4260.0,4215.0,
2206,5825.0,5710.0,
2208,1906.5,1879.0,
2209,2455.0,2420.0,
2215,1024.0,1008.0,
2216,3235.0,3220.0,
2220,5230.0,5130.0,
2229,,3030.0,
2266,2136.0,2078.0,
2270,2694.0,2654.0,
2282,,4030.0,
2291,2327.0,2300.0,
2292,4105.0,4060.0,
2294,2160.5,2137.0,
2300,539.5,530.0,
2309,1570.0,1529.0,
2330,175.0,172.0,
2332,1062.0,1031.0,
2338,,419.0,
2340,591.0,587.0,
2342,476.5,458.0,
2345,894.0,878.0,
2354,378.0,370.0,
2370,75.0,73.0,
2371,,2124.0,
2372,1538.5,1505.0,
2373,1306.5,1296.0,
2375,878.5,864.0,
2376,703.0,694.0,
2388,118.0,113.0,
2395,,878.0,
2397,760.0,736.0,
2404,373.0,363.0,
2405,405.0,397.0,
