ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
4579,ラクオリア創薬(株),5,5,5,2019.03.27,BULLISH HARAMI,15.0,9.0,6.0,34.0,1.0,22.33,940600,2126.0,1738.5,1675.0,,387.0,64.0,6.04
5358,イソライト工業株式会社,4,4,5,2019.04.02,BEARISH MEETING LINE,3.0,1.0,1.0,16.0,0.0,16.0,69300,440.0,,538.0,523.0,83.0,15.0,5.53
2412,(株)ベネフィット・ワン,4,4,4,2019.04.08,BULLISH HAMMER,3.0,2.0,1.0,29.0,1.0,14.0,842000,2508.0,2200.0,2151.0,,308.0,49.0,6.28
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,26700,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,13000,434.0,,538.0,498.0,64.0,40.0,1.6
4288,(株)アズジェント,4,5,5,2019.04.05,BULLISH HARAMI CROSS,7.0,4.0,3.0,15.0,1.0,11.0,3500,2356.0,2123.0,2083.0,,233.0,40.0,5.82
4812,株式会社電通国際情報サービス,4,5,4,2019.04.08,BULLISH ONE WHITE SOLDIER,5.0,4.0,4.0,11.0,0.0,11.0,46500,4173.0,3760.0,3675.0,,413.0,85.0,4.85
2436,共同ピーアール株式会社,5,5,5,2019.03.22,BEARISH ONE BLACK CROW,5.0,2.0,2.0,11.0,0.0,11.0,274200,1408.0,,1665.0,1581.0,173.0,84.0,2.05
3921,株式会社ネオジャパン,4,4,5,2019.04.03,BULLISH HARAMI,20.0,11.0,5.0,24.0,4.0,8.72,16700,1007.0,927.0,902.0,,80.0,25.0,3.2
4588,オンコリスバイオファーマ(株),5,5,5,2019.04.08,BULLISH ONE WHITE SOLDIER,7.0,4.0,2.0,25.0,8.0,8.5,11069700,2240.0,2065.0,1752.0,,175.0,313.0,0.55
9425,日本テレホン(株),4,5,4,2019.04.04,BEARISH DESCENDING HAWK,6.0,2.0,2.0,8.0,0.0,8.0,9900,421.0,,463.0,457.0,36.0,6.0,6.0
3769,ＧＭＯペイメントゲートウェイ(株),5,5,5,2019.04.05,BEARISH DARK CLOUD COVER,6.0,3.0,2.0,12.0,0.0,8.0,733300,7314.0,,8150.0,7950.0,636.0,200.0,3.18
2122,株式会社インタースペース,4,4,4,2019.04.08,BULLISH HARAMI,19.0,14.0,9.0,13.0,1.0,8.0,6600,1589.0,1472.0,1435.0,,117.0,37.0,3.16
