ticker,buy,stop,sell
1301,2784.5,2766.0,
1305,1718.5,1707.0,
1306,1696.0,1683.0,
1308,1678.5,1666.0,
1325,211.0,208.0,
1326,13550.0,13490.0,
1328,3725.0,3710.0,
1333,3582.5,3560.0,
1344,719.0,715.0,
1348,1681.5,1671.0,
1357,1090.0,1064.0,
1364,14740.0,14650.0,
1367,12900.0,12730.0,
1380,836.5,820.0,
1391,2050.0,2035.0,
1400,332.0,315.0,
1401,1010.0,1000.0,
1413,2192.0,2133.0,
1414,7610.0,7500.0,
1439,1077.0,1073.0,
1459,4230.0,4130.0,
1464,9980.0,9850.0,
1467,9730.0,9680.0,
1475,1654.0,1642.0,
1477,1795.0,1776.0,
1482,2261.0,2250.0,
1492,,13550.0,
1494,17975.0,17850.0,
1496,2383.0,2369.0,
1514,117.0,114.0,
1515,4602.5,4540.0,
1545,,8750.0,
1550,2442.0,2432.0,
1551,3925.0,3860.0,
1552,10320.0,10170.0,
1560,4175.0,4100.0,
1566,,48500.0,
1568,16620.0,16390.0,
1573,7350.0,7320.0,
1577,23245.0,23080.0,
1580,4255.0,4245.0,
1591,14420.0,14350.0,
1593,14810.0,14740.0,
1595,1914.0,1899.0,
1599,14650.0,14370.0,
1618,12130.0,11940.0,
1619,21390.0,20490.0,
1621,21880.0,21650.0,
1627,8280.0,8180.0,
1631,9410.0,9280.0,
1651,980.0,974.0,
1655,2325.0,2311.0,
1656,2461.0,2443.0,
1662,,2486.0,
1680,2485.0,2465.0,
1689,4.0,3.0,
1698,1729.0,1720.0,
1712,621.0,616.0,
1717,475.0,461.0,
1728,234.5,228.0,
1730,517.0,511.0,
1764,2570.0,2535.0,
1766,7290.0,7210.0,
1783,65.5,65.0,
1799,1607.0,1600.0,
1801,4830.0,4750.0,
1802,1077.0,1066.0,
1805,1391.0,1376.0,
1808,1340.0,1322.0,
1812,1591.0,1566.0,
1813,1507.0,1485.0,
1814,910.0,898.0,
1815,2914.5,2870.0,
1827,467.0,457.0,
1828,801.5,798.0,
1833,3540.0,3490.0,
1850,401.5,396.0,
1853,383.0,375.0,
1860,670.0,660.0,
1865,918.0,907.0,
1866,3030.0,2990.0,
1871,647.0,632.0,
1878,15455.0,15175.0,
1879,949.0,937.0,
1882,2966.0,2930.0,
1884,6250.0,6120.0,
1888,1457.0,1437.0,
1890,411.5,404.0,
1893,498.5,490.0,
1898,571.0,563.0,
1899,4340.0,4265.0,
1905,828.0,818.0,
1906,113.0,112.0,
1909,1122.0,1112.0,
1911,1571.0,1554.0,
1921,362.5,356.0,
1925,3038.0,2957.5,
1928,1781.0,1767.5,
1929,576.0,571.0,
1939,2678.5,2635.0,
1941,2275.0,2243.0,
1942,921.0,908.0,
1944,1803.5,1780.0,
1945,976.5,957.0,
1949,1900.0,1872.0,
1954,2536.0,2477.0,
1960,669.0,642.0,
1964,1794.0,1764.0,
1965,845.0,837.0,
1968,2401.0,2376.0,
1969,1795.0,1761.0,
1973,2700.0,2638.0,
1976,743.0,731.0,
1979,3480.0,3405.0,
1980,2553.5,2487.0,
1982,1899.0,1845.0,
1994,717.0,710.0,
2001,1869.0,1848.0,
2003,6300.0,6270.0,
2004,3030.0,2995.0,
2039,6895.0,6870.0,
2055,277.0,269.0,
2067,10810.0,10770.0,
2107,989.5,982.0,
2108,1843.5,1824.0,
2112,232.0,229.0,
2117,1996.0,1966.0,
2127,3145.0,3100.0,
2144,479.0,450.0,
2152,920.0,906.0,
2154,3730.0,3660.0,
2157,,1688.0,
2159,529.0,520.0,
2164,945.0,931.0,
2176,723.0,706.0,
2196,639.0,624.0,
2198,775.0,770.0,
2211,2150.0,2123.0,
2212,1700.0,1669.0,
2215,1017.0,1010.0,
2216,,3270.0,
2217,5185.0,5010.0,
2221,4200.0,4190.0,
2224,2355.0,2351.0,
2264,3370.0,3315.0,
2266,2103.0,2069.0,
2267,7400.0,7310.0,
2269,8730.0,8660.0,
2270,2432.0,2391.0,
2281,2060.5,2044.0,
2291,2146.5,2128.0,
2292,4005.0,3965.0,
2300,539.5,533.0,
2301,1237.0,1223.0,
2305,2070.0,2048.0,
2307,1038.0,1004.0,
2309,1585.0,1568.0,
2315,28.0,27.0,
2317,1303.0,1257.0,
2321,109.0,105.0,
2329,595.0,589.0,
2330,175.0,172.0,
2331,4825.0,4730.0,
2332,1106.0,1088.0,
2337,378.0,360.0,
2340,586.0,574.0,
2341,193.5,192.0,
2342,435.5,427.0,
2344,848.0,840.0,
2345,,842.0,
2349,1277.5,1263.0,
2351,1995.0,1908.0,
2352,1227.0,1207.0,
2354,387.5,378.0,
2372,1686.0,1598.0,
2376,673.0,662.0,
2378,2048.0,2027.0,
2379,1569.0,1524.0,
2384,1885.0,1845.0,
2385,564.5,550.0,
2395,767.0,743.0,
2398,667.5,661.0,
2404,376.5,369.0,
2405,407.5,406.0,
2408,423.5,420.0,
2415,1878.0,1850.0,
2436,1957.0,1890.0,
2440,611.5,606.0,
2454,606.0,601.0,
2459,236.0,230.0,
2468,566.0,553.0,
2469,2418.0,2311.0,
2477,2915.0,2775.0,
2479,288.0,283.0,
2483,2407.0,2367.0,
2485,663.0,654.0,
2488,890.5,870.0,
2492,1509.0,1494.0,
2497,1520.0,1480.0,
2499,333.0,330.0,
2501,2272.0,2246.0,
2503,2554.5,2533.5,
2518,904.0,897.0,
2522,,2421.0,
2533,394.0,385.0,
2540,2147.0,2133.0,
2579,2734.0,2686.0,
2587,4860.0,4770.0,
2588,1662.0,1631.0,
2590,5000.0,4955.0,
2594,2084.0,2065.0,
2597,995.5,992.0,
2599,1175.0,1165.0,
2602,3205.0,3165.0,
2607,3485.0,3425.0,
2612,5170.0,5140.0,
2651,5290.0,5160.0,
2654,353.0,349.0,
2656,424.0,381.0,
2664,1784.0,1766.0,
2666,121.0,119.0,
2670,6880.0,6800.0,
2673,117.0,115.0,
2674,767.5,762.0,
2678,2853.0,2779.0,
2685,2844.0,2790.0,
2687,717.0,697.0,
2689,1515.0,1493.0,
2693,327.5,323.0,
