ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
9399,新華ホールディングス・リミテッド,4,5,5,2019.04.24,BULLISH PIERCING LINE,6.0,1.0,1.0,45.0,0.0,45.0,511120,155.0,107.0,103.0,,48.0,4.0,12.0
2186,ソーバル(株),5,5,5,2019.04.12,BEARISH ONE BLACK CROW,3.0,1.0,1.0,28.0,0.0,28.0,34000,699.0,,1014.0,970.0,271.0,44.0,6.15
3140,株式会社イデアインターナショナル,5,4,5,2019.04.23,BEARISH HARAMI CROSS,6.0,1.0,1.0,24.0,0.0,24.0,25800,770.0,,1023.0,1012.0,242.0,11.0,22.0
4346,(株)ネクシィーズ,5,4,4,2019.04.23,BEARISH ONE BLACK CROW,4.0,2.0,2.0,23.0,0.0,23.0,197400,1798.0,,2400.0,2335.0,537.0,65.0,8.26
3655,(株)ブレインパッド,5,5,5,2019.04.22,BULLISH ONE WHITE SOLDIER,7.0,4.0,4.0,19.0,0.0,19.0,193900,6985.0,5870.0,5660.0,,1115.0,210.0,5.3
6699,,5,5,5,2019.04.16,BEARISH HARAMI,10.0,4.0,3.0,24.0,5.0,16.75,6300,830.0,,1016.0,996.5,166.0,20.0,8.3
4587,ペプチドリーム,4,4,4,2019.04.18,BEARISH ONE BLACK CROW,3.0,1.0,1.0,16.0,0.0,16.0,997800,4864.0,,5900.0,5790.0,926.0,110.0,8.41
2693,ＹＫＴ(株),4,4,5,2019.04.19,BULLISH HARAMI CROSS,16.0,10.0,3.0,46.0,1.0,13.1,38500,370.0,327.5,323.0,,42.0,5.0,8.4
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,198000,434.0,,538.0,498.0,64.0,40.0,1.6
2488,日本サード・パーティ株式会社,5,4,4,2019.04.24,BULLISH DOJI STAR,9.0,5.0,3.0,21.0,1.0,12.2,22200,964.0,860.0,850.0,,104.0,10.0,10.4
4025,多木化学(株),5,5,5,2019.04.19,BULLISH HARAMI,18.0,11.0,10.0,13.0,0.0,11.81,22200,6121.0,5475.0,5370.0,,646.0,105.0,6.15
3461,株式会社パルマ,5,4,5,2019.04.19,BULLISH HARAMI,16.0,6.0,5.0,14.0,7.0,10.5,18100,776.0,703.0,692.0,,73.0,11.0,6.63
2436,共同ピーアール株式会社,5,5,5,2019.04.12,BULLISH ONE WHITE SOLDIER,3.0,2.0,1.0,21.0,1.0,10.0,127500,2152.0,1957.0,1890.0,,195.0,67.0,2.91
4582,シンバイオ製薬(株),5,5,5,2019.04.24,BULLISH HARAMI CROSS,12.0,7.0,2.0,39.0,2.0,9.71,1268900,212.0,193.5,191.0,,18.0,3.0,6.0
6094,(株)フリークアウト,5,5,5,2019.04.23,BULLISH HARAMI,23.0,13.0,10.0,13.0,4.0,9.07,38200,2132.0,1955.0,1888.0,,177.0,67.0,2.64
6099,(株)エラン,5,5,5,2019.04.19,BULLISH HOMING PIGEON,6.0,3.0,1.0,37.0,5.0,9.0,147000,1843.0,1691.0,1641.0,,152.0,50.0,3.04
4812,株式会社電通国際情報サービス,4,4,4,2019.04.22,BULLISH ONE WHITE SOLDIER,5.0,5.0,4.0,11.0,3.0,8.2,41300,4068.0,3760.0,3675.0,,308.0,85.0,3.62
3042,(株)セキュアヴェイル,4,5,5,2019.04.23,BULLISH HARAMI CROSS,18.0,12.0,8.0,13.0,3.0,7.66,11500,873.0,811.0,801.0,,62.0,10.0,6.2
2776,(株)クリムゾン,5,4,5,2019.04.24,BULLISH HARAMI CROSS,27.0,10.0,3.0,30.0,2.0,7.6,17700,130.0,121.0,119.0,,9.0,2.0,4.5
5358,イソライト工業株式会社,4,4,5,2019.04.19,BULLISH HARAMI CROSS,14.0,11.0,7.0,12.0,1.0,7.27,65600,574.0,535.5,526.0,,38.0,10.0,3.8
4563,アンジェスMG株式会社,5,5,5,2019.04.24,BEARISH DARK CLOUD COVER,6.0,5.0,4.0,10.0,4.0,7.2,4117300,777.0,,872.0,837.0,60.0,35.0,1.71
3549,KUSURI NO AOKI H,4,4,4,2019.04.24,BEARISH HARAMI CROSS,7.0,2.0,2.0,7.0,0.0,7.0,68500,7282.0,,7960.0,7830.0,548.0,130.0,4.21
4235,第一化成(株),5,5,5,2019.04.15,BULLISH PIERCING LINE,4.0,1.0,1.0,7.0,0.0,7.0,30900,2639.0,2467.0,2415.0,,172.0,52.0,3.3
4591,(株)リボミック,5,5,4,2019.04.24,BULLISH DOJI STAR,12.0,5.0,3.0,12.0,1.0,6.79,139100,703.0,658.5,641.0,,44.0,18.0,2.44
9782,(株)ディーエムエス,4,4,4,2019.04.16,BULLISH DOJI STAR,4.0,3.0,2.0,10.0,0.0,6.66,3600,2109.0,1977.5,1970.0,,131.0,8.0,16.37
2453,ジャパンベストレスキューシステム株式会社,5,5,5,2019.04.24,BULLISH PIERCING LINE,9.0,3.0,2.0,10.0,1.0,6.33,265900,1752.0,1648.0,1595.0,,104.0,53.0,1.96
9740,ＣＳＰ,4,5,5,2019.04.24,BULLISH HARAMI,18.0,10.0,8.0,8.0,1.0,6.2,84200,5724.0,5390.0,5240.0,,334.0,150.0,2.22
6035,株式会社アイ・アールジャパンホールディングス,4,4,4,2019.04.24,BEARISH DESCENDING HAWK,7.0,2.0,2.0,6.0,0.0,6.0,48300,1815.0,,1965.0,1930.0,115.0,35.0,3.28
3907,シリコンスタジオ(株),5,5,4,2019.04.23,BULLISH HARAMI,16.0,7.0,7.0,6.0,0.0,6.0,100300,2317.0,2186.5,2102.0,,130.0,85.0,1.52
3932,株式会社アカツキ,5,5,4,2019.04.19,BULLISH HOMING PIGEON,5.0,3.0,1.0,20.0,1.0,5.99,151900,5882.0,5550.0,5410.0,,332.0,140.0,2.37
6086,シンプロメンテ(株),4,4,5,2019.04.19,BULLISH HARAMI,22.0,17.0,13.0,9.0,4.0,5.94,4400,2477.0,2338.5,2267.0,,138.0,72.0,1.91
6064,(株)アクトコール,5,5,5,2019.04.24,BEARISH HARAMI,11.0,7.0,5.0,8.0,0.0,5.71,461900,995.0,,1144.0,1055.0,60.0,89.0,0.67
3814,株式会社アルファクス・フード・システム,5,4,5,2019.04.24,BULLISH HARAMI,18.0,12.0,8.0,11.0,5.0,5.66,4500,1564.0,1480.5,1460.0,,83.0,21.0,3.95
3457,株式会社ハウスドゥ,5,5,5,2019.04.19,BULLISH HARAMI,13.0,10.0,6.0,10.0,1.0,5.6,104300,1507.0,1428.0,1392.0,,79.0,36.0,2.19
6193,バーチャレクス・コンサルティング株式会社,4,4,4,2019.04.24,BEARISH ENGULFING,14.0,8.0,6.0,8.0,2.0,5.5,4800,692.0,,746.0,732.0,40.0,14.0,2.85
6944,(株)アイレックス,5,5,5,2019.04.24,BULLISH ENGULFING,13.0,9.0,5.0,13.0,4.0,5.44,19800,3035.0,2879.0,2822.0,,156.0,57.0,2.73
8929,(株)青山財産ネットワークス,5,5,4,2019.04.24,BULLISH ONE WHITE SOLDIER,6.0,5.0,3.0,9.0,0.0,5.4,37200,1647.0,1563.0,1536.0,,84.0,27.0,3.11
4568,第一三共(株),4,5,4,2019.04.24,BEARISH DOJI STAR,8.0,3.0,2.0,9.0,3.0,5.0,1986400,4911.0,,5277.0,5169.0,258.0,108.0,2.38
9827,リリカラ(株),5,5,5,2019.04.23,BULLISH HARAMI,22.0,13.0,7.0,10.0,1.0,4.92,72800,208.0,199.0,194.0,,9.0,5.0,1.8
2820,株式会社やまみ,5,4,5,2019.04.24,BULLISH ENGULFING,13.0,8.0,6.0,8.0,5.0,4.75,6100,2541.0,2426.0,2365.0,,115.0,61.0,1.88
2136,株式会社ヒップ,4,4,5,2019.04.17,BEARISH HARAMI,17.0,11.0,9.0,6.0,1.0,4.72,4900,929.0,,984.0,975.0,46.0,9.0,5.11
6069,トレンダーズ(株),5,4,5,2019.04.22,BULLISH HARAMI,28.0,17.0,10.0,10.0,3.0,4.64,98300,704.0,673.0,662.0,,31.0,11.0,2.81
3359,(株)タイセイ,5,5,5,2019.04.23,BULLISH HOMING PIGEON,8.0,3.0,1.0,15.0,1.0,4.33,13800,377.0,361.5,349.0,,15.0,13.0,1.15
3719,(株)ジェクシード,5,4,5,2019.04.22,BULLISH HARAMI CROSS,26.0,9.0,6.0,7.0,2.0,3.99,248600,126.0,122.0,118.0,,4.0,4.0,1.0
4735,(株)京進,5,5,5,2019.04.24,BULLISH HARAMI CROSS,14.0,7.0,4.0,8.0,2.0,3.71,17200,1077.0,1039.0,1027.0,,38.0,12.0,3.16
2191,テラ(株),4,4,5,2019.04.24,BULLISH HARAMI,30.0,18.0,12.0,7.0,3.0,3.66,111600,273.0,263.5,258.0,,9.0,6.0,1.5
