ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
2186,ソーバル(株),4,5,4,2019.04.12,BEARISH ONE BLACK CROW,3.0,1.0,1.0,28.0,0.0,28.0,44500,699.0,,1014.0,970.0,271.0,44.0,6.15
6067,(株)メディアフラッグ,5,5,5,2019.04.15,BULLISH KICKING,4.0,2.0,2.0,22.0,0.0,22.0,264800,4880.0,4000.0,3680.0,,880.0,320.0,2.75
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,29000,2120.0,1800.0,1729.0,,320.0,71.0,4.5
4568,第一三共(株),4,5,4,2019.04.15,BULLISH KICKING,2.0,1.0,1.0,17.0,0.0,17.0,1230000,6215.0,5312.0,5234.0,,903.0,78.0,11.57
6699,,5,5,5,2019.04.16,BEARISH HARAMI,10.0,4.0,3.0,24.0,5.0,16.75,9800,830.0,,1016.0,996.5,166.0,20.0,8.3
6149,(株)小田原エンジニアリング,4,5,5,2019.04.17,BULLISH PIERCING LINE,11.0,8.0,5.0,26.0,1.0,15.87,11800,2469.0,2131.0,2054.0,,338.0,77.0,4.38
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,36800,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,45500,434.0,,538.0,498.0,64.0,40.0,1.6
4288,(株)アズジェント,4,5,5,2019.04.12,BULLISH DOJI STAR,4.0,2.0,2.0,12.0,0.0,12.0,9700,2206.0,1970.0,1957.0,,236.0,13.0,18.15
3186,(株)ネクステージ,5,4,4,2019.04.16,BEARISH DESCENDING HAWK,6.0,3.0,3.0,11.0,0.0,11.0,423900,1015.0,,1149.0,1140.0,125.0,9.0,13.88
3844,コムチュア(株),5,5,5,2019.04.16,BEARISH DOJI STAR,8.0,2.0,1.0,21.0,0.0,10.5,73400,3314.0,,3730.0,3702.5,388.0,28.0,13.85
4588,オンコリスバイオファーマ(株),5,5,5,2019.04.16,BEARISH DARK CLOUD COVER,7.0,5.0,3.0,18.0,1.0,10.39,9716800,2519.0,,3070.0,2810.0,291.0,260.0,1.11
1853,(株)森組,5,4,5,2019.04.17,BULLISH HARAMI CROSS,13.0,7.0,5.0,15.0,2.0,10.14,39100,435.0,395.0,390.0,,40.0,5.0,8.0
2436,共同ピーアール株式会社,5,5,5,2019.04.12,BULLISH ONE WHITE SOLDIER,3.0,2.0,1.0,21.0,1.0,10.0,163500,2152.0,1957.0,1890.0,,195.0,67.0,2.91
2351,(株)ＡＳＪ,5,5,5,2019.04.16,BEARISH ONE BLACK CROW,3.0,2.0,2.0,10.0,0.0,10.0,811900,1808.0,,2289.0,2008.0,200.0,281.0,0.71
6094,(株)フリークアウト,4,5,4,2019.04.15,BULLISH HARAMI,22.0,13.0,10.0,13.0,4.0,9.07,182000,2198.0,2016.0,1957.0,,182.0,59.0,3.08
4591,(株)リボミック,5,5,4,2019.04.16,BEARISH DARK CLOUD COVER,5.0,1.0,1.0,8.0,0.0,8.0,229000,617.0,,697.0,670.0,53.0,27.0,1.96
7851,カワセコンピュータサプライ株式会社,5,4,4,2019.04.16,BEARISH KICKING,2.0,1.0,1.0,8.0,0.0,8.0,65500,377.0,,427.0,409.0,32.0,18.0,1.77
2776,(株)クリムゾン,5,4,5,2019.04.03,BULLISH HARAMI CROSS,26.0,10.0,3.0,30.0,2.0,7.6,84600,143.0,133.5,126.0,,9.0,8.0,1.12
8789,フィンテック グローバル(株),5,5,4,2019.04.15,BULLISH HARAMI CROSS,31.0,14.0,5.0,23.0,1.0,7.57,3496700,130.0,121.0,118.0,,9.0,3.0,3.0
6494,(株)ＮＦＫホールディングス,5,5,5,2019.04.17,BULLISH HARAMI,31.0,19.0,14.0,10.0,1.0,7.1,241700,133.0,125.0,122.0,,8.0,3.0,2.66
4235,第一化成(株),5,5,5,2019.04.15,BULLISH PIERCING LINE,4.0,1.0,1.0,7.0,0.0,7.0,59900,2639.0,2467.0,2415.0,,172.0,52.0,3.3
9782,(株)ディーエムエス,4,4,4,2019.04.16,BULLISH DOJI STAR,4.0,3.0,2.0,10.0,0.0,6.66,3300,2109.0,1977.5,1970.0,,131.0,8.0,16.37
4792,山田コンサルティンググループ(株),4,4,5,2019.04.15,BULLISH ONE WHITE SOLDIER,11.0,7.0,6.0,8.0,2.0,6.57,24500,2582.0,2423.0,2395.0,,159.0,28.0,5.67
3461,株式会社パルマ,4,5,5,2019.04.17,BEARISH DARK CLOUD COVER,7.0,4.0,2.0,14.0,1.0,6.5,9500,664.0,,726.0,710.0,46.0,16.0,2.87
