ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
3556,RENETJAPANGROUP,5,5,5,2019.04.02,BULLISH HOMING PIGEON,2.0,1.0,1.0,42.0,0.0,42.0,265700,1634.0,1151.0,1081.0,,483.0,70.0,6.9
7577,(株)パスポート,5,5,5,2019.04.01,BULLISH ENGULFING,16.0,5.0,4.0,36.0,0.0,28.8,27300,294.0,229.0,224.0,,65.0,5.0,13.0
4579,ラクオリア創薬(株),5,4,5,2019.03.27,BULLISH HARAMI,15.0,9.0,6.0,34.0,1.0,22.33,1475000,2126.0,1738.5,1675.0,,387.0,64.0,6.04
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,79400,2120.0,1800.0,1729.0,,320.0,71.0,4.5
5358,イソライト工業株式会社,4,4,5,2019.04.02,BEARISH MEETING LINE,3.0,1.0,1.0,16.0,0.0,16.0,117300,440.0,,538.0,523.0,83.0,15.0,5.53
2163,(株)アルトナー,5,4,4,2019.04.01,BULLISH HARAMI CROSS,7.0,5.0,3.0,24.0,1.0,13.99,24500,1045.0,917.0,904.0,,128.0,13.0,9.84
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,51500,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,21100,434.0,,538.0,498.0,64.0,40.0,1.6
6177,AppBank株式会社,4,5,4,2019.03.26,BEARISH ONE BLACK CROW,4.0,3.0,3.0,13.0,0.0,13.0,4087700,314.0,,405.0,360.0,46.0,45.0,1.02
3850,(株)ＮＴＴデータイントラマート,5,5,4,2019.03.29,BULLISH KICKING,5.0,2.0,2.0,12.0,0.0,12.0,5200,3987.0,3560.0,3465.0,,427.0,95.0,4.49
2722,株式会社アイケイ,4,5,5,2019.04.01,BULLISH HARAMI,23.0,16.0,13.0,15.0,2.0,11.81,30500,657.0,588.0,574.0,,69.0,14.0,4.92
2436,共同ピーアール株式会社,5,5,5,2019.03.22,BEARISH ONE BLACK CROW,5.0,2.0,2.0,11.0,0.0,11.0,274900,1408.0,,1665.0,1581.0,173.0,84.0,2.05
6777,ｓａｎｔｅｃ(株),5,5,5,2019.04.01,BULLISH HARAMI,12.0,8.0,5.0,16.0,2.0,9.25,313900,1640.0,1502.0,1424.0,,138.0,78.0,1.76
6955,ＦＤＫ(株),5,5,5,2019.04.01,BULLISH HARAMI,20.0,10.0,8.0,12.0,2.0,9.2,626700,1108.0,1015.5,992.0,,92.0,24.0,3.83
6131,浜井産業株式会社,5,4,4,2019.04.02,BEARISH THREE BLACK CROWS,2.0,1.0,1.0,9.0,0.0,9.0,12400,833.0,,960.0,915.0,82.0,45.0,1.82
6494,(株)ＮＦＫホールディングス,5,5,5,2019.04.02,BULLISH HARAMI CROSS,15.0,7.0,5.0,13.0,2.0,8.71,491900,136.0,126.0,123.0,,10.0,3.0,3.33
4235,第一化成(株),5,4,5,2019.03.29,BULLISH ONE WHITE SOLDIER,14.0,8.0,6.0,11.0,1.0,8.0,26800,2487.0,2303.0,2200.0,,184.0,103.0,1.78
7707,プレシジョン・システム・サイエンス(株),5,5,4,2019.03.29,BULLISH HARAMI CROSS,14.0,5.0,3.0,14.0,1.0,8.0,680400,463.0,429.5,409.0,,33.0,21.0,1.57
4288,(株)アズジェント,4,5,5,2019.04.02,BEARISH ENGULFING,19.0,10.0,7.0,12.0,3.0,7.49,13400,1985.0,,2249.0,2145.0,160.0,104.0,1.53
3966,株式会社ユーザベース,5,5,5,2019.04.02,BEARISH ENGULFING,8.0,4.0,3.0,10.0,1.0,7.25,81100,2839.0,,3155.0,3060.0,221.0,95.0,2.32
3788,ＧＭＯクラウド(株),4,5,5,2019.04.01,BEARISH ENGULFING,13.0,6.0,4.0,11.0,1.0,7.0,183200,3851.0,,4250.0,4140.0,289.0,110.0,2.62
8052,椿本興業(株),5,5,4,2019.04.01,BULLISH HARAMI,25.0,14.0,13.0,7.0,1.0,6.42,4400,4171.0,3920.0,3780.0,,251.0,140.0,1.79
6071,株式会社IBJ,5,5,4,2019.04.01,BULLISH HOMING PIGEON,5.0,3.0,2.0,12.0,6.0,6.0,243000,956.0,902.5,887.0,,53.0,16.0,3.31
3836,(株)ディーバ,5,5,5,2019.04.02,BULLISH DOJI STAR,5.0,2.0,2.0,6.0,0.0,6.0,49400,1648.0,1555.0,1526.0,,93.0,29.0,3.2
3036,アルコニックス(株),4,4,4,2019.03.26,BULLISH ONE WHITE SOLDIER,10.0,8.0,7.0,7.0,1.0,6.0,119400,1384.0,1306.0,1278.0,,78.0,28.0,2.78
3469,株式会社デュアルタップ,4,4,4,2019.04.02,BULLISH HARAMI CROSS,13.0,8.0,4.0,18.0,7.0,5.5,224300,673.0,638.5,611.0,,34.0,28.0,1.21
6944,(株)アイレックス,5,5,5,2019.03.22,BULLISH HARAMI CROSS,9.0,5.0,4.0,7.0,1.0,5.4,39100,3248.0,3082.5,3020.0,,165.0,63.0,2.61
4242,(株)タカギセイコー,5,5,5,2019.03.25,BULLISH ENGULFING,11.0,10.0,9.0,7.0,9.0,5.4,9300,4042.0,3835.0,3595.0,,207.0,240.0,0.86
4582,シンバイオ製薬(株),4,5,5,2019.03.20,BULLISH HARAMI,24.0,11.0,9.0,6.0,0.0,4.9,4391800,223.0,213.0,208.0,,10.0,5.0,2.0
6055,ジャパンマテリアル株式会社,5,5,5,2019.03.28,BEARISH ONE BLACK CROW,10.0,7.0,5.0,7.0,1.0,4.71,411700,1258.0,,1349.0,1320.0,62.0,29.0,2.13
