ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
9828,元気寿司(株),4,5,4,2019.04.09,BULLISH THREE GAP DOWNS,4.0,1.0,1.0,30.0,0.0,30.0,61200,6006.0,4620.0,4540.0,,1386.0,80.0,17.32
4579,ラクオリア創薬(株),5,5,5,2019.03.27,BULLISH HARAMI,15.0,9.0,6.0,34.0,1.0,22.33,794400,2126.0,1738.5,1675.0,,387.0,64.0,6.04
6699,,5,5,5,2019.04.09,BEARISH TWO CROWS,2.0,1.0,1.0,19.0,0.0,19.0,9200,778.0,,999.0,960.0,182.0,39.0,4.66
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,57900,2120.0,1800.0,1729.0,,320.0,71.0,4.5
7859,株式会社アルメディオ,5,5,5,2019.04.09,BEARISH ONE BLACK CROW,4.0,2.0,2.0,17.0,0.0,17.0,305300,138.0,,173.0,166.0,28.0,7.0,4.0
2412,(株)ベネフィット・ワン,4,4,4,2019.04.08,BULLISH HAMMER,3.0,2.0,1.0,29.0,1.0,14.0,409300,2508.0,2200.0,2151.0,,308.0,49.0,6.28
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,26900,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,32200,434.0,,538.0,498.0,64.0,40.0,1.6
6071,株式会社IBJ,5,5,4,2019.04.09,BULLISH HAMMER,4.0,1.0,1.0,12.0,0.0,12.0,294300,965.0,862.0,838.0,,103.0,24.0,4.29
2136,株式会社ヒップ,4,4,5,2019.04.09,BULLISH ENGULFING,12.0,6.0,4.0,19.0,4.0,11.33,4000,1105.0,993.0,969.0,,112.0,24.0,4.66
4288,(株)アズジェント,4,5,5,2019.04.05,BULLISH HARAMI CROSS,7.0,4.0,3.0,15.0,1.0,11.0,4500,2356.0,2123.0,2083.0,,233.0,40.0,5.82
4812,株式会社電通国際情報サービス,4,5,4,2019.04.08,BULLISH ONE WHITE SOLDIER,5.0,4.0,4.0,11.0,0.0,11.0,39600,4173.0,3760.0,3675.0,,413.0,85.0,4.85
3921,株式会社ネオジャパン,4,4,5,2019.04.03,BULLISH HARAMI,20.0,11.0,5.0,24.0,4.0,8.72,21600,1007.0,927.0,902.0,,80.0,25.0,3.2
4588,オンコリスバイオファーマ(株),5,5,5,2019.04.08,BULLISH ONE WHITE SOLDIER,7.0,4.0,2.0,25.0,8.0,8.5,132500,2240.0,2065.0,1752.0,,175.0,313.0,0.55
9425,日本テレホン(株),4,5,4,2019.04.04,BEARISH DESCENDING HAWK,6.0,2.0,2.0,8.0,0.0,8.0,31600,421.0,,463.0,457.0,36.0,6.0,6.0
3769,ＧＭＯペイメントゲートウェイ(株),5,5,5,2019.04.05,BEARISH DARK CLOUD COVER,6.0,3.0,2.0,12.0,0.0,8.0,779800,7314.0,,8150.0,7950.0,636.0,200.0,3.18
2122,株式会社インタースペース,4,4,4,2019.04.08,BULLISH HARAMI,19.0,14.0,9.0,13.0,1.0,8.0,10600,1589.0,1472.0,1435.0,,117.0,37.0,3.16
2776,(株)クリムゾン,5,4,5,2019.04.03,BULLISH HARAMI CROSS,26.0,10.0,3.0,30.0,2.0,7.6,25900,143.0,133.5,126.0,,9.0,8.0,1.12
6871,(株)日本マイクロニクス,5,4,4,2019.04.04,BEARISH DOJI STAR,8.0,5.0,3.0,13.0,1.0,7.4,214700,744.0,,832.0,802.5,58.0,30.0,1.93
3814,株式会社アルファクス・フード・システム,5,4,5,2019.04.05,BULLISH HARAMI CROSS,11.0,6.0,3.0,20.0,6.0,7.0,27900,1804.0,1686.0,1653.0,,118.0,33.0,3.57
3195,(株)ジェネレーションパス,5,5,4,2019.04.05,BULLISH ONE WHITE SOLDIER,4.0,2.0,1.0,15.0,1.0,7.0,58200,1046.0,978.0,956.0,,68.0,22.0,3.09
2436,共同ピーアール株式会社,5,5,5,2019.04.09,BEARISH ENGULFING,7.0,4.0,2.0,25.0,11.0,7.0,193200,1768.0,,1958.0,1901.0,133.0,57.0,2.33
9913,日邦産業(株),5,4,5,2019.04.05,BULLISH PIERCING LINE,5.0,3.0,1.0,21.0,1.0,6.33,45800,570.0,537.0,512.0,,33.0,25.0,1.32
4743,株式会社アイティフォー,4,5,4,2019.04.03,BULLISH HARAMI,12.0,7.0,5.0,9.0,1.0,6.14,189700,1013.0,954.5,930.0,,58.0,25.0,2.31
