ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
3195,(株)ジェネレーションパス,5,5,4,2019.04.23,BULLISH HARAMI CROSS,11.0,4.0,2.0,80.0,3.0,38.5,34300,1371.0,990.0,974.0,,381.0,16.0,23.81
2186,ソーバル(株),5,5,5,2019.04.12,BEARISH ONE BLACK CROW,3.0,1.0,1.0,28.0,0.0,28.0,63700,699.0,,1014.0,970.0,271.0,44.0,6.15
3140,株式会社イデアインターナショナル,5,4,5,2019.04.23,BEARISH HARAMI CROSS,6.0,1.0,1.0,24.0,0.0,24.0,10300,770.0,,1023.0,1012.0,242.0,11.0,22.0
4346,(株)ネクシィーズ,5,4,4,2019.04.23,BEARISH ONE BLACK CROW,4.0,2.0,2.0,23.0,0.0,23.0,129300,1798.0,,2400.0,2335.0,537.0,65.0,8.26
3655,(株)ブレインパッド,5,5,5,2019.04.22,BULLISH ONE WHITE SOLDIER,7.0,4.0,4.0,19.0,0.0,19.0,124600,6985.0,5870.0,5660.0,,1115.0,210.0,5.3
6699,,5,5,5,2019.04.16,BEARISH HARAMI,10.0,4.0,3.0,24.0,5.0,16.75,8800,830.0,,1016.0,996.5,166.0,20.0,8.3
4587,ペプチドリーム,4,4,4,2019.04.18,BEARISH ONE BLACK CROW,3.0,1.0,1.0,16.0,0.0,16.0,852900,4864.0,,5900.0,5790.0,926.0,110.0,8.41
6125,(株)岡本工作機械製作所,4,4,5,2019.04.23,BEARISH ONE BLACK CROW,5.0,2.0,2.0,15.0,0.0,15.0,23900,2597.0,,3105.0,3055.0,458.0,50.0,9.16
2693,ＹＫＴ(株),4,4,5,2019.04.19,BULLISH HARAMI CROSS,16.0,10.0,3.0,46.0,1.0,13.1,20200,370.0,327.5,323.0,,42.0,5.0,8.4
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,7700,434.0,,538.0,498.0,64.0,40.0,1.6
4025,多木化学(株),5,5,5,2019.04.19,BULLISH HARAMI,18.0,11.0,10.0,13.0,0.0,11.81,30700,6121.0,5475.0,5370.0,,646.0,105.0,6.15
7777,株式会社スリー・ディー・マトリックス,5,5,4,2019.04.23,BEARISH DOJI STAR,4.0,2.0,2.0,11.0,0.0,11.0,663200,647.0,,762.0,726.0,79.0,36.0,2.19
3461,株式会社パルマ,4,5,5,2019.04.19,BULLISH HARAMI,16.0,6.0,5.0,14.0,7.0,10.5,16800,776.0,703.0,692.0,,73.0,11.0,6.63
2436,共同ピーアール株式会社,5,5,5,2019.04.12,BULLISH ONE WHITE SOLDIER,3.0,2.0,1.0,21.0,1.0,10.0,56200,2152.0,1957.0,1890.0,,195.0,67.0,2.91
6094,(株)フリークアウト,5,5,5,2019.04.23,BULLISH HARAMI,23.0,13.0,10.0,13.0,4.0,9.07,74000,2132.0,1955.0,1888.0,,177.0,67.0,2.64
6099,(株)エラン,5,5,5,2019.04.19,BULLISH HOMING PIGEON,6.0,3.0,1.0,37.0,5.0,9.0,254600,1843.0,1691.0,1641.0,,152.0,50.0,3.04
4812,株式会社電通国際情報サービス,4,4,4,2019.04.22,BULLISH ONE WHITE SOLDIER,5.0,5.0,4.0,11.0,3.0,8.2,48900,4068.0,3760.0,3675.0,,308.0,85.0,3.62
6505,東洋電機製造(株),4,4,4,2019.04.23,BEARISH DESCENDING HAWK,5.0,1.0,1.0,8.0,0.0,8.0,47000,1392.0,,1549.0,1512.0,120.0,37.0,3.24
3042,(株)セキュアヴェイル,4,5,5,2019.04.23,BULLISH HARAMI CROSS,18.0,12.0,8.0,13.0,3.0,7.66,11300,873.0,811.0,801.0,,62.0,10.0,6.2
2776,(株)クリムゾン,5,4,5,2019.04.03,BULLISH HARAMI CROSS,26.0,10.0,3.0,30.0,2.0,7.6,40500,143.0,133.5,126.0,,9.0,8.0,1.12
5358,イソライト工業株式会社,4,4,5,2019.04.19,BULLISH HARAMI CROSS,14.0,11.0,7.0,12.0,1.0,7.27,76000,574.0,535.5,526.0,,38.0,10.0,3.8
3814,株式会社アルファクス・フード・システム,5,4,5,2019.04.22,BULLISH HARAMI CROSS,13.0,6.0,3.0,20.0,6.0,7.0,10500,1607.0,1502.0,1490.0,,105.0,12.0,8.75
4235,第一化成(株),5,5,5,2019.04.15,BULLISH PIERCING LINE,4.0,1.0,1.0,7.0,0.0,7.0,32000,2639.0,2467.0,2415.0,,172.0,52.0,3.3
4563,アンジェスMG株式会社,5,5,5,2019.04.18,BEARISH HARAMI,16.0,10.0,9.0,8.0,4.0,6.8,16198800,761.0,,869.0,816.0,55.0,53.0,1.03
3297,(株)東武住販,4,4,4,2019.04.18,BEARISH ENGULFING,9.0,4.0,3.0,10.0,3.0,6.75,7800,1147.0,,1246.0,1229.0,82.0,17.0,4.82
2475,ＷＤＢホールディングス(株),4,5,4,2019.04.23,BULLISH HARAMI,13.0,7.0,6.0,8.0,1.0,6.71,14200,3388.0,3175.0,3070.0,,213.0,105.0,2.02
9782,(株)ディーエムエス,4,4,4,2019.04.16,BULLISH DOJI STAR,4.0,3.0,2.0,10.0,0.0,6.66,2100,2109.0,1977.5,1970.0,,131.0,8.0,16.37
4290,(株)プレステージ・インターナショナル,5,5,4,2019.04.22,BULLISH ENGULFING,12.0,8.0,8.0,6.0,0.0,6.0,52500,1636.0,1544.0,1518.0,,92.0,26.0,3.53
6920,レーザーテック(株),5,4,5,2019.04.18,BULLISH DOJI STAR,6.0,4.0,3.0,8.0,0.0,6.0,346100,5178.0,4885.0,4770.0,,293.0,115.0,2.54
4335,株式会社アイ・ピー・エス,5,5,5,2019.04.22,BEARISH DARK CLOUD COVER,5.0,4.0,4.0,6.0,0.0,6.0,17600,870.0,,960.0,925.0,55.0,35.0,1.57
3907,シリコンスタジオ(株),5,5,4,2019.04.23,BULLISH HARAMI,16.0,7.0,7.0,6.0,0.0,6.0,262200,2317.0,2186.5,2102.0,,130.0,85.0,1.52
3932,株式会社アカツキ,5,5,4,2019.04.19,BULLISH HOMING PIGEON,5.0,3.0,1.0,20.0,1.0,5.99,298900,5882.0,5550.0,5410.0,,332.0,140.0,2.37
6086,シンプロメンテ(株),4,4,5,2019.04.19,BULLISH HARAMI,22.0,17.0,13.0,9.0,4.0,5.94,3600,2477.0,2338.5,2267.0,,138.0,72.0,1.91
3457,株式会社ハウスドゥ,5,5,5,2019.04.19,BULLISH HARAMI,13.0,10.0,6.0,10.0,1.0,5.6,207400,1507.0,1428.0,1392.0,,79.0,36.0,2.19
6944,(株)アイレックス,5,5,5,2019.04.17,BULLISH ENGULFING,12.0,9.0,5.0,13.0,4.0,5.44,12300,3205.0,3040.0,2930.0,,165.0,110.0,1.5
4534,持田製薬(株),5,5,4,2019.04.23,BEARISH DARK CLOUD COVER,6.0,3.0,3.0,5.0,0.0,5.0,46800,4950.0,,5290.0,5210.0,260.0,80.0,3.25
7564,(株)ワークマン,5,5,4,2019.04.23,BULLISH ENGULFING,9.0,4.0,3.0,7.0,1.0,5.0,167300,5554.0,5290.0,5150.0,,264.0,140.0,1.88
6255,(株)エヌ・ピー・シー,4,5,5,2019.04.04,BEARISH DARK CLOUD COVER,6.0,3.0,3.0,5.0,0.0,5.0,501200,268.0,,290.0,282.0,14.0,8.0,1.75
9827,リリカラ(株),5,5,5,2019.04.23,BULLISH HARAMI,22.0,13.0,7.0,10.0,1.0,4.92,75100,208.0,199.0,194.0,,9.0,5.0,1.8
3843,フリービット(株),5,5,4,2019.04.23,BEARISH HARAMI,20.0,13.0,9.0,8.0,2.0,4.92,284900,1110.0,,1206.0,1167.0,57.0,39.0,1.46
2136,株式会社ヒップ,4,4,5,2019.04.17,BEARISH HARAMI,17.0,11.0,9.0,6.0,1.0,4.72,4000,929.0,,984.0,975.0,46.0,9.0,5.11
6069,トレンダーズ(株),5,4,5,2019.04.22,BULLISH HARAMI,28.0,17.0,10.0,10.0,3.0,4.64,78600,704.0,673.0,662.0,,31.0,11.0,2.81
9698,(株)クレオ,5,5,5,2019.04.23,BEARISH HARAMI,16.0,8.0,6.0,6.0,0.0,4.5,68700,1649.0,,1825.0,1726.0,77.0,99.0,0.77
3359,(株)タイセイ,5,5,5,2019.04.23,BULLISH HOMING PIGEON,8.0,3.0,1.0,15.0,1.0,4.33,24400,377.0,361.5,349.0,,15.0,13.0,1.15
3036,アルコニックス(株),4,4,4,2019.04.23,BEARISH ONE BLACK CROW,7.0,6.0,3.0,10.0,2.0,4.0,73900,1303.0,,1403.0,1357.0,54.0,46.0,1.17
3719,(株)ジェクシード,5,4,5,2019.04.22,BULLISH HARAMI CROSS,26.0,9.0,6.0,7.0,2.0,3.99,133000,126.0,122.0,118.0,,4.0,4.0,1.0
2884,株式会社ヨシムラ・フード・ホールディングス,5,5,5,2019.04.18,BEARISH HARAMI,24.0,14.0,8.0,9.0,3.0,3.85,417000,737.0,,824.0,766.0,29.0,58.0,0.5
7745,(株)エー・アンド・デイ,5,5,5,2019.04.04,BEARISH HARAMI CROSS,9.0,6.0,4.0,6.0,1.0,3.66,142400,776.0,,832.0,805.0,29.0,27.0,1.07
6777,ｓａｎｔｅｃ(株),5,5,5,2019.04.22,BEARISH ENGULFING,16.0,10.0,6.0,8.0,3.0,3.59,156800,1944.0,,2136.0,2016.0,72.0,120.0,0.6
3316,東京日産コンピュータシステム(株),5,4,5,2019.04.05,BULLISH HARAMI CROSS,12.0,9.0,5.0,8.0,2.0,3.55,3200,562.0,543.0,539.0,,19.0,4.0,4.75
9791,(株)ビケンテクノ,4,4,4,2019.04.23,BEARISH DELIBERATION BLOCK,7.0,4.0,2.0,7.0,0.0,3.5,4200,876.0,,912.0,907.5,31.0,5.0,6.2
6131,浜井産業株式会社,5,4,4,2019.04.19,BULLISH HARAMI,16.0,8.0,4.0,8.0,1.0,3.5,6400,922.0,891.0,877.0,,31.0,14.0,2.21
4582,シンバイオ製薬(株),5,5,5,2019.04.19,BULLISH DOJI STAR,9.0,4.0,2.0,9.0,2.0,3.5,1576200,207.0,200.0,196.0,,7.0,4.0,1.75
6065,サクセスホールディングス(株),4,4,4,2019.04.17,BULLISH HARAMI,21.0,14.0,7.0,8.0,1.0,3.5,24000,883.0,853.5,826.0,,29.0,28.0,1.03
6834,(株)精工技研,5,4,4,2019.04.23,BEARISH ENGULFING,10.0,8.0,6.0,5.0,1.0,3.5,17000,2558.0,,2740.0,2650.0,92.0,90.0,1.02
8289,Ｏｌｙｍｐｉｃグループ,5,5,4,2019.04.19,BULLISH HARAMI CROSS,6.0,3.0,1.0,12.0,1.0,3.33,42000,831.0,805.0,778.0,,26.0,27.0,0.96
8052,椿本興業(株),5,5,4,2019.04.22,BULLISH HARAMI CROSS,11.0,5.0,2.0,8.0,0.0,3.2,2000,3924.0,3802.5,3785.0,,121.0,18.0,6.72
8079,正栄食品工業(株),4,4,4,2019.04.23,BEARISH HARAMI,28.0,20.0,13.0,6.0,2.0,3.2,223300,3304.0,,3520.0,3412.5,108.0,108.0,1.0
8789,フィンテック グローバル(株),5,5,4,2019.04.23,BULLISH HARAMI,22.0,14.0,4.0,16.0,2.0,3.14,2697900,117.0,113.5,111.0,,3.0,3.0,1.0
6193,バーチャレクス・コンサルティング株式会社,4,4,4,2019.04.18,BEARISH DESCENDING HAWK,3.0,1.0,1.0,3.0,0.0,3.0,6100,692.0,,722.0,712.5,20.0,10.0,2.0
6778,(株)アルチザネットワークス,5,4,4,2019.04.16,BULLISH DOJI STAR,5.0,4.0,3.0,6.0,6.0,3.0,90700,1286.0,1249.5,1231.0,,36.0,19.0,1.89
6754,アンリツ株式会社,5,5,4,2019.04.19,BULLISH HARAMI,11.0,8.0,7.0,5.0,11.0,3.0,2968700,2296.0,2230.0,2164.0,,66.0,66.0,1.0
6894,パルステック工業(株),5,5,4,2019.04.19,BULLISH HARAMI,20.0,13.0,5.0,11.0,2.0,3.0,3300,3455.0,3355.0,3200.0,,100.0,155.0,0.64
4588,オンコリスバイオファーマ(株),5,5,5,2019.04.23,BULLISH ENGULFING,17.0,13.0,5.0,11.0,2.0,3.0,6240800,3007.0,2920.0,2626.0,,87.0,294.0,0.29
6027,弁護士ドットコム(株),5,5,5,2019.04.22,BEARISH HARAMI,16.0,9.0,7.0,4.0,1.0,2.88,94600,3956.0,,4230.0,4072.5,116.0,158.0,0.73
3665,(株)エニグモ,5,5,4,2019.04.19,BULLISH ENGULFING,13.0,7.0,3.0,9.0,2.0,2.71,303600,3060.0,2980.0,2835.0,,80.0,145.0,0.55
3135,株式会社マーケットエンタープライズ,5,5,5,2019.04.22,BEARISH HARAMI,17.0,13.0,6.0,9.0,3.0,2.53,24000,1292.0,,1419.0,1325.5,33.0,94.0,0.35
6866,日置電機株式会社,4,4,4,2019.04.23,BULLISH DOJI STAR,6.0,4.0,2.0,6.0,1.0,2.5,60700,4307.0,4202.5,4140.0,,104.0,63.0,1.65
5304,ＳＥＣカーボン(株),4,5,5,2019.04.19,BULLISH HARAMI CROSS,9.0,6.0,3.0,6.0,1.0,2.5,74000,11080.0,10810.0,10600.0,,270.0,210.0,1.28
4248,竹本容器(株),4,5,4,2019.04.17,BULLISH HARAMI,23.0,16.0,11.0,4.0,1.0,2.43,51600,1492.0,1457.0,1435.0,,35.0,22.0,1.59
2488,日本サード・パーティ株式会社,5,4,4,2019.04.19,BULLISH HARAMI CROSS,9.0,5.0,3.0,6.0,3.0,2.39,56400,911.0,890.5,870.0,,20.0,21.0,0.95
6067,(株)メディアフラッグ,5,5,5,2019.04.23,BULLISH HARAMI,22.0,12.0,7.0,4.0,0.0,2.33,127300,3504.0,3425.0,3330.0,,79.0,95.0,0.83
3139,株式会社ラクト・ジャパン,4,5,5,2019.04.23,BEARISH HARAMI,27.0,12.0,7.0,5.0,2.0,2.08,59400,8069.0,,8620.0,8240.0,171.0,380.0,0.45
1401,株式会社エムビーエス,4,5,5,2019.04.17,BULLISH DOJI STAR,12.0,8.0,4.0,5.0,1.0,2.0,4900,1030.0,1010.0,1000.0,,20.0,10.0,2.0
6256,(株)ニューフレアテクノロジー,5,5,4,2019.04.23,BEARISH ENGULFING,18.0,12.0,8.0,3.0,0.0,2.0,11200,6753.0,,7040.0,6890.0,137.0,150.0,0.91
6938,双信電機(株),5,4,5,2019.04.23,BULLISH THREE GAP DOWNS,5.0,1.0,1.0,2.0,0.0,2.0,140600,538.0,527.5,511.0,,10.0,17.0,0.58
6323,ローツェ(株),5,5,4,2019.04.22,BEARISH HARAMI,15.0,8.0,5.0,5.0,3.0,2.0,94700,2688.0,,2840.0,2742.0,54.0,98.0,0.55
2930,株式会社北の達人コーポレーション,5,5,5,2019.04.23,BULLISH HOMING PIGEON,4.0,1.0,1.0,2.0,0.0,2.0,1611600,555.0,544.5,522.0,,10.0,23.0,0.43
4735,(株)京進,5,5,5,2019.04.11,BULLISH ENGULFING,13.0,7.0,5.0,4.0,4.0,1.71,9700,1160.0,1141.0,1091.0,,19.0,50.0,0.38
3627,ネオス(株),4,5,5,2019.04.23,BULLISH HARAMI CROSS,12.0,10.0,5.0,4.0,1.0,1.5,534500,927.0,913.5,893.0,,13.0,21.0,0.61
6376,日機装(株),4,5,4,2019.04.23,BULLISH ONE WHITE SOLDIER,11.0,7.0,4.0,4.0,2.0,1.42,409400,1412.0,1393.0,1370.0,,19.0,23.0,0.82
6246,(株)テクノスマート,4,5,4,2019.04.23,BEARISH ENGULFING,26.0,14.0,6.0,6.0,2.0,1.42,44600,933.0,,966.0,946.0,13.0,20.0,0.65
7577,(株)パスポート,5,5,5,2019.04.23,BEARISH HARAMI CROSS,9.0,5.0,2.0,5.0,1.0,1.4,3600,223.0,,228.0,226.0,3.0,2.0,1.5
5957,日東精工(株),4,4,4,2019.04.23,BEARISH HARAMI,17.0,10.0,8.0,2.0,2.0,1.2,71500,633.0,,663.0,640.0,7.0,23.0,0.3
2820,株式会社やまみ,5,4,5,2019.04.16,BULLISH HARAMI CROSS,9.0,4.0,1.0,4.0,0.0,1.0,6500,2519.0,2495.0,2480.0,,24.0,15.0,1.6
3150,(株)グリムス,5,5,5,2019.04.23,BEARISH TWO CROWS,3.0,2.0,1.0,6.0,4.0,1.0,27900,1872.0,,1904.0,1890.0,18.0,14.0,1.28
