ticker,buy,stop,sell
1326,13550.0,13490.0,
1345,1890.5,1882.0,
1348,,1689.0,
1357,1129.5,1121.0,
1360,2574.5,2550.0,
1366,2802.5,2776.0,
1377,3635.0,3550.0,
1379,1918.5,1910.0,
1384,597.0,595.0,
1401,1010.0,1000.0,
1407,1310.0,1259.0,
1413,2259.0,2230.0,
1433,1362.0,1334.0,
1439,1077.0,1073.0,
1443,237.0,229.0,
1456,6720.0,6690.0,
1457,7475.0,7460.0,
1459,4385.0,4355.0,
1475,,1665.0,
1482,2275.0,2265.0,
1492,,13550.0,
1494,17975.0,17850.0,
1514,120.0,117.0,
1515,4755.0,4620.0,
1542,4895.0,4880.0,
1552,10320.0,10170.0,
1560,,4220.0,
1571,1545.0,1539.0,
1580,4255.0,4245.0,
1591,,14510.0,
1592,,1336.0,
1593,,14900.0,
1595,1923.0,1912.0,
1621,21880.0,21650.0,
1627,8280.0,8180.0,
1631,9410.0,9280.0,
1663,,1646.0,
1689,4.0,3.0,
1712,631.5,624.0,
1717,475.0,461.0,
1728,245.0,238.0,
1737,1093.0,1079.0,
1799,1621.0,1619.0,
1802,1097.0,1084.0,
1812,1634.0,1613.0,
1814,929.0,908.0,
1827,482.0,469.0,
1828,806.0,801.0,
1847,1857.0,1833.0,
1853,395.0,390.0,
1871,654.0,648.0,
1879,975.5,962.0,
1882,2966.0,2930.0,
1888,1457.0,1437.0,
1890,415.5,411.0,
1906,113.0,112.0,
1926,1477.0,1445.0,
1930,865.0,807.0,
1939,2678.5,2635.0,
1944,1877.0,1814.0,
1949,,1928.0,
1965,851.0,847.0,
1968,2442.0,2403.0,
1971,723.0,707.0,
1973,2738.0,2694.0,
1976,754.0,735.0,
1979,3525.0,3470.0,
1982,1899.0,1845.0,
1994,717.0,710.0,
2004,3080.0,3050.0,
2034,10245.0,10140.0,
2035,1078.5,1062.0,
2036,10140.0,10060.0,
2039,6895.0,6870.0,
2055,277.0,269.0,
2060,174.0,171.0,
2107,1013.0,1003.0,
2112,232.0,229.0,
2114,557.5,552.0,
2138,1750.0,1746.0,
2139,556.0,550.0,
2157,,1688.0,
2159,548.5,535.0,
2160,2890.5,2792.0,
2162,439.5,431.0,
2164,975.0,945.0,
2176,734.0,713.0,
2196,647.0,639.0,
2201,4802.5,4690.0,
2220,5220.0,5150.0,
2221,4200.0,4190.0,
2224,2369.0,2353.0,
2226,,4955.0,
2264,3460.0,3415.0,
2268,4020.0,4000.0,
2269,8730.0,8660.0,
2305,2129.0,2094.0,
2315,29.0,28.0,
2321,109.0,105.0,
2329,605.0,602.0,
2332,1106.0,1088.0,
2334,1625.0,1575.0,
2338,,419.0,
2340,586.0,574.0,
2341,193.5,192.0,
2342,440.0,435.0,
2344,861.0,835.0,
2349,,1300.0,
2352,1259.5,1237.0,
2353,171.0,167.0,
2359,,1205.0,
2373,,1389.0,
2375,886.0,869.0,
2379,1569.0,1524.0,
2385,564.5,550.0,
2388,119.0,116.0,
2395,,889.0,
2404,,380.0,
2405,413.5,410.0,
2410,1225.5,1210.0,
2415,1878.0,1850.0,
2424,599.0,590.0,
2425,583.0,581.0,
2435,200.0,197.0,
2436,1957.0,1890.0,
2454,618.5,595.0,
2469,2418.0,2311.0,
2483,2492.0,2474.0,
2485,677.0,669.0,
2499,333.0,330.0,
2501,2321.0,2290.0,
2503,2554.5,2533.5,
2511,957.5,954.0,
2531,1296.0,1277.0,
2533,403.0,396.0,
2573,3742.5,3735.0,
2579,2734.0,2686.0,
2586,385.0,376.0,
2587,5010.0,4975.0,
2588,1739.0,1670.0,
2593,5465.0,5400.0,
2599,1212.5,1204.0,
2602,3290.0,3260.0,
2612,5190.0,5140.0,
2651,5300.0,5230.0,
2654,359.0,354.0,
2666,121.0,119.0,
2673,117.0,115.0,
2685,2853.0,2783.0,
