ticker,buy,stop,sell
1301,2816.0,2773.0,
1310,728.0,727.0,
1332,785.5,775.0,
1333,3720.0,3685.0,
1343,2006.0,1997.0,
1344,707.0,701.0,
1345,1890.5,1882.0,
1357,1129.5,1121.0,
1360,2887.0,2791.0,
1366,2947.0,2925.0,
1377,3840.0,3745.0,
1379,,1999.0,
1419,1052.0,1030.0,
1420,784.0,772.0,
1433,1370.0,1329.0,
1439,,1100.0,
1446,991.5,985.0,
1447,375.0,370.0,
1448,519.0,502.0,
1456,6880.0,6840.0,
1459,4385.0,4355.0,
1476,1927.0,1916.0,
1478,1898.0,1886.0,
1482,2275.0,2265.0,
1488,1915.0,1902.0,
1552,10320.0,10170.0,
1559,,3375.0,
1560,,4220.0,
1571,1585.5,1579.0,
1580,4255.0,4245.0,
1595,1923.0,1912.0,
1597,1904.0,1891.0,
1621,22350.0,22250.0,
1627,8280.0,8180.0,
1660,10015.0,9950.0,
1689,4.0,3.0,
1711,472.0,462.0,
1717,484.5,473.0,
1719,713.0,700.0,
1720,798.0,793.0,
1722,762.0,752.0,
1723,2634.5,2624.0,
1726,326.5,322.0,
1737,1093.0,1079.0,
1770,776.0,760.0,
1776,731.0,688.0,
1782,5580.0,5420.0,
1799,1621.0,1619.0,
1801,4770.0,4725.0,
1802,1114.0,1100.0,
1803,934.5,926.0,
1811,5290.0,5220.0,
1812,1634.0,1613.0,
1814,940.0,927.0,
1820,2328.0,2292.0,
1824,1089.5,1075.0,
1826,407.0,400.0,
1840,162.0,159.0,
1847,1889.0,1865.0,
1852,2502.0,2470.0,
1861,3130.0,3070.0,
1866,3092.5,3065.0,
1867,2337.0,2322.0,
1870,790.5,777.0,
1871,671.0,661.0,
1879,979.0,963.0,
1884,6270.0,6210.0,
1885,1607.5,1571.0,
1888,1484.0,1468.0,
1890,444.0,431.0,
1898,593.0,585.0,
1909,1122.0,1112.0,
1914,365.5,357.0,
1926,1477.0,1445.0,
1929,587.0,580.0,
1930,884.0,861.0,
1934,806.0,795.0,
1939,2702.0,2660.0,
1941,2277.5,2254.0,
1942,932.5,926.0,
1944,1877.0,1814.0,
1945,976.5,957.0,
1952,1760.0,1728.0,
1959,3060.0,3020.0,
1965,855.5,847.0,
1967,519.5,505.0,
1972,2715.0,2700.0,
1975,2923.5,2896.0,
1976,758.0,746.0,
1980,2449.5,2406.0,
2009,771.5,764.0,
2034,10310.0,10260.0,
2035,1151.5,1114.0,
2039,6895.0,6870.0,
2046,10960.0,10800.0,
2055,277.0,269.0,
2060,174.0,171.0,
2107,1013.0,1003.0,
2108,1883.5,1867.0,
2114,565.5,564.0,
2117,2038.0,2025.0,
2121,2579.0,2545.0,
2124,,2470.0,
2136,981.0,970.0,
2138,1750.0,1746.0,
2139,559.5,551.0,
2153,1136.0,1101.0,
2157,,1688.0,
2158,535.0,520.0,
2159,548.5,535.0,
2162,439.5,431.0,
2164,988.0,924.0,
2168,1671.5,1619.0,
2169,1237.0,1230.0,
2173,721.0,711.0,
2175,1851.0,1791.0,
2180,1760.0,1670.0,
2185,2095.0,2054.0,
2193,263.0,258.0,
2201,4802.5,4690.0,
2206,5825.0,5710.0,
2207,1449.0,1438.0,
2211,2176.0,2150.0,
2220,5250.0,5210.0,
2224,2369.0,2353.0,
2266,2136.0,2078.0,
2267,7710.0,7630.0,
2286,603.0,578.0,
2288,1915.0,1878.0,
2294,2141.0,2119.0,
2296,678.0,671.0,
2305,2247.5,2217.0,
2325,1500.0,1470.0,
2329,605.0,602.0,
2335,803.0,795.0,
2338,,419.0,
2340,586.0,574.0,
2342,476.5,458.0,
2344,861.0,835.0,
2352,1325.0,1299.0,
2353,171.0,167.0,
2354,376.0,366.0,
