ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
4579,ラクオリア創薬(株),5,4,5,2019.03.27,BULLISH HARAMI,15.0,9.0,6.0,34.0,1.0,22.33,1210800,2126.0,1738.5,1675.0,,387.0,64.0,6.04
5358,イソライト工業株式会社,4,4,5,2019.04.02,BEARISH MEETING LINE,3.0,1.0,1.0,16.0,0.0,16.0,47700,440.0,,538.0,523.0,83.0,15.0,5.53
6324,株式会社ハーモニック・ドライブ・システムズ,5,4,4,2019.04.04,BEARISH THREE GAP UPS,10.0,3.0,3.0,14.0,0.0,14.0,1314200,3886.0,,4650.0,4517.5,631.0,133.0,4.74
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,38000,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,8200,434.0,,538.0,498.0,64.0,40.0,1.6
3139,株式会社ラクト・ジャパン,4,5,5,2019.04.04,BULLISH THREE GAP DOWNS,3.0,2.0,1.0,26.0,4.0,11.0,74700,8796.0,7925.0,7860.0,,871.0,65.0,13.4
3135,株式会社マーケットエンタープライズ,5,5,5,2019.04.05,BULLISH HARAMI CROSS,10.0,4.0,3.0,15.0,1.0,11.0,18300,1346.0,1213.5,1195.0,,132.0,19.0,6.94
4288,(株)アズジェント,4,5,5,2019.04.05,BULLISH HARAMI CROSS,7.0,4.0,3.0,15.0,1.0,11.0,4800,2356.0,2123.0,2083.0,,233.0,40.0,5.82
2436,共同ピーアール株式会社,5,5,5,2019.03.22,BEARISH ONE BLACK CROW,5.0,2.0,2.0,11.0,0.0,11.0,218200,1408.0,,1665.0,1581.0,173.0,84.0,2.05
6920,レーザーテック(株),5,4,5,2019.04.04,BEARISH DOJI STAR,11.0,3.0,2.0,18.0,8.0,9.33,335000,4620.0,,5250.0,5095.0,475.0,155.0,3.06
3921,株式会社ネオジャパン,4,4,5,2019.04.03,BULLISH HARAMI,20.0,11.0,5.0,24.0,4.0,8.72,20100,1007.0,927.0,902.0,,80.0,25.0,3.2
9425,日本テレホン(株),4,5,4,2019.04.04,BEARISH DESCENDING HAWK,6.0,2.0,2.0,8.0,0.0,8.0,9100,421.0,,463.0,457.0,36.0,6.0,6.0
3769,ＧＭＯペイメントゲートウェイ(株),5,5,4,2019.04.05,BEARISH DARK CLOUD COVER,6.0,3.0,2.0,12.0,0.0,8.0,464000,7314.0,,8150.0,7950.0,636.0,200.0,3.18
4584,(株)ジーンテクノサイエンス,5,5,5,2019.04.03,BULLISH ONE WHITE SOLDIER,12.0,11.0,7.0,14.0,3.0,7.81,49800,907.0,842.0,803.0,,65.0,39.0,1.66
2776,(株)クリムゾン,5,4,5,2019.04.03,BULLISH HARAMI CROSS,26.0,10.0,3.0,30.0,2.0,7.6,53300,143.0,133.5,126.0,,9.0,8.0,1.12
6871,(株)日本マイクロニクス,5,4,4,2019.04.04,BEARISH DOJI STAR,8.0,5.0,3.0,13.0,1.0,7.4,151200,744.0,,832.0,802.5,58.0,30.0,1.93
3900,(株)クラウドワークス,4,5,4,2019.04.04,BULLISH ENGULFING,11.0,7.0,5.0,11.0,2.0,7.28,44000,2378.0,2217.0,2155.0,,161.0,62.0,2.59
3814,株式会社アルファクス・フード・システム,5,4,5,2019.04.05,BULLISH HARAMI CROSS,11.0,6.0,3.0,20.0,6.0,7.0,13400,1804.0,1686.0,1653.0,,118.0,33.0,3.57
3195,(株)ジェネレーションパス,5,5,4,2019.04.05,BULLISH ONE WHITE SOLDIER,4.0,2.0,1.0,15.0,1.0,7.0,47000,1046.0,978.0,956.0,,68.0,22.0,3.09
3907,シリコンスタジオ(株),5,5,4,2019.04.04,BEARISH ONE BLACK CROW,9.0,6.0,5.0,8.0,0.0,6.66,539900,2437.0,,2940.0,2610.0,173.0,330.0,0.52
6027,弁護士ドットコム(株),5,5,5,2019.04.03,BULLISH HARAMI,18.0,12.0,9.0,10.0,4.0,6.5,72200,4438.0,4167.5,4050.0,,270.0,118.0,2.28
5614,株式会社川金ホールディングス,5,5,4,2019.04.03,BULLISH HARAMI,27.0,17.0,14.0,8.0,1.0,6.41,7500,432.0,406.0,394.0,,26.0,12.0,2.16
9913,日邦産業(株),5,4,5,2019.04.05,BULLISH PIERCING LINE,5.0,3.0,1.0,21.0,1.0,6.33,74500,570.0,537.0,512.0,,33.0,25.0,1.32
