ticker,name,star6,star12,star24,date,pattern,total,confirmed,success,profit,loss,e,v,target,buy,stop,sell,reward,risk,rr
3359,(株)タイセイ,5,5,5,2019.04.15,BULLISH PIERCING LINE,8.0,3.0,3.0,29.0,0.0,29.0,31700,487.0,378.0,365.0,,109.0,13.0,8.38
2186,ソーバル(株),4,5,4,2019.04.12,BEARISH ONE BLACK CROW,3.0,1.0,1.0,28.0,0.0,28.0,39600,699.0,,1014.0,970.0,271.0,44.0,6.15
6067,(株)メディアフラッグ,5,5,5,2019.04.15,BULLISH KICKING,4.0,2.0,2.0,22.0,0.0,22.0,188500,4880.0,4000.0,3680.0,,880.0,320.0,2.75
2588,(株)ウォーターダイレクト,4,5,5,2019.04.10,BULLISH PIERCING LINE,5.0,4.0,4.0,19.0,0.0,19.0,1300,2069.0,1739.0,1670.0,,330.0,69.0,4.78
4287,株式会社ジャストプランニング,4,5,5,2019.04.12,BEARISH ONE BLACK CROW,11.0,5.0,5.0,19.0,0.0,19.0,169400,435.0,,561.0,536.0,101.0,25.0,4.04
3967,株式会社エルテス,5,4,4,2019.03.27,BULLISH PIERCING LINE,6.0,5.0,3.0,33.0,5.0,17.8,46400,2120.0,1800.0,1729.0,,320.0,71.0,4.5
4568,第一三共(株),4,5,4,2019.04.15,BULLISH KICKING,2.0,1.0,1.0,17.0,0.0,17.0,1557400,6215.0,5312.0,5234.0,,903.0,78.0,11.57
4970,東洋合成工業(株),5,5,5,2019.04.01,BEARISH DOJI STAR,5.0,1.0,1.0,13.0,0.0,13.0,40300,1392.0,,1640.0,1599.0,207.0,41.0,5.04
6300,アピックヤマダ株式会社,5,5,4,2019.02.13,BEARISH DOJI STAR,3.0,1.0,1.0,13.0,0.0,13.0,1900,434.0,,538.0,498.0,64.0,40.0,1.6
4288,(株)アズジェント,5,5,5,2019.04.12,BULLISH DOJI STAR,4.0,2.0,2.0,12.0,0.0,12.0,12700,2206.0,1970.0,1957.0,,236.0,13.0,18.15
3929,ソーシャルワイヤー株式会社,4,4,4,2019.04.12,BEARISH HARAMI,13.0,8.0,7.0,13.0,2.0,11.12,49900,775.0,,910.0,871.0,96.0,39.0,2.46
6699,,5,5,5,2019.04.12,BEARISH DOJI STAR,4.0,2.0,1.0,23.0,1.0,11.0,9900,867.0,,986.0,973.5,106.0,13.0,8.15
7781,平山ホールディングス株式会社,4,5,5,2019.04.15,BULLISH ENGULFING,7.0,3.0,2.0,17.0,1.0,10.99,2300,3218.0,2900.0,2870.0,,318.0,30.0,10.6
3844,コムチュア(株),5,5,5,2019.04.11,BEARISH DOJI STAR,7.0,2.0,1.0,21.0,0.0,10.5,136000,3207.0,,3610.0,3582.5,375.0,28.0,13.39
1853,(株)森組,5,4,5,2019.04.15,BULLISH HARAMI CROSS,12.0,7.0,5.0,15.0,2.0,10.14,59800,439.0,399.0,390.0,,40.0,9.0,4.44
2436,共同ピーアール株式会社,5,5,5,2019.04.12,BULLISH ONE WHITE SOLDIER,3.0,2.0,1.0,21.0,1.0,10.0,287500,2152.0,1957.0,1890.0,,195.0,67.0,2.91
9385,(株)ショーエイコーポレーション,5,5,5,2019.04.15,BULLISH HARAMI,19.0,13.0,8.0,18.0,3.0,9.92,23800,827.0,753.0,732.0,,74.0,21.0,3.52
6094,(株)フリークアウト,4,5,4,2019.04.15,BULLISH HARAMI,22.0,13.0,10.0,13.0,4.0,9.07,49300,2198.0,2016.0,1957.0,,182.0,59.0,3.08
4238,ミライアル(株),5,4,4,2019.04.15,BULLISH HARAMI CROSS,10.0,6.0,4.0,14.0,1.0,8.99,27100,1358.0,1246.0,1221.0,,112.0,25.0,4.48
6095,メドピア(株),5,5,4,2019.04.10,BULLISH HARAMI,24.0,16.0,9.0,19.0,4.0,8.93,126400,2617.0,2402.5,2312.0,,214.0,91.0,2.35
5903,ＳＨＩＮＰＯ(株),5,4,4,2019.04.12,BULLISH HARAMI CROSS,9.0,5.0,4.0,11.0,1.0,8.6,7800,1311.0,1208.0,1190.0,,103.0,18.0,5.72
3661,(株)エムアップ,4,5,5,2019.04.15,BULLISH HARAMI,23.0,12.0,9.0,12.0,2.0,8.5,337900,2753.0,2538.0,2361.0,,215.0,177.0,1.21
6200,株式会社インソース,4,4,5,2019.04.12,BULLISH HARAMI,10.0,7.0,5.0,13.0,4.0,8.14,40400,2405.0,2224.0,2168.0,,181.0,56.0,3.23
3769,ＧＭＯペイメントゲートウェイ(株),5,5,5,2019.04.05,BEARISH DARK CLOUD COVER,6.0,3.0,2.0,12.0,0.0,8.0,525500,7314.0,,8150.0,7950.0,636.0,200.0,3.18
3021,(株)パシフィックネット,5,5,4,2019.04.11,BULLISH KICKING,3.0,1.0,1.0,8.0,0.0,8.0,23800,1155.0,1070.0,1031.0,,85.0,39.0,2.17
1401,株式会社エムビーエス,4,5,5,2019.04.15,BULLISH ONE WHITE SOLDIER,5.0,4.0,3.0,11.0,1.0,8.0,42200,1126.0,1043.0,1001.0,,83.0,42.0,1.97
6494,(株)ＮＦＫホールディングス,5,5,5,2019.04.15,BULLISH HARAMI CROSS,16.0,8.0,6.0,11.0,2.0,7.75,311600,136.0,127.0,124.0,,9.0,3.0,3.0
2776,(株)クリムゾン,5,4,5,2019.04.03,BULLISH HARAMI CROSS,26.0,10.0,3.0,30.0,2.0,7.6,60000,143.0,133.5,126.0,,9.0,8.0,1.12
8789,フィンテック グローバル(株),4,5,4,2019.04.15,BULLISH HARAMI CROSS,31.0,14.0,5.0,23.0,1.0,7.57,1611500,130.0,121.0,118.0,,9.0,3.0,3.0
3814,株式会社アルファクス・フード・システム,5,4,5,2019.04.12,BULLISH HARAMI CROSS,12.0,6.0,3.0,20.0,6.0,7.0,18800,1753.0,1638.5,1611.0,,114.0,28.0,4.07
4235,第一化成(株),5,4,5,2019.04.15,BULLISH PIERCING LINE,4.0,1.0,1.0,7.0,0.0,7.0,21500,2639.0,2467.0,2415.0,,172.0,52.0,3.3
7519,五洋インテックス(株),5,5,5,2019.04.15,BULLISH ONE WHITE SOLDIER,3.0,2.0,1.0,14.0,0.0,7.0,31100,4627.0,4325.0,4145.0,,302.0,180.0,1.67
2136,株式会社ヒップ,4,4,5,2019.04.12,BULLISH HARAMI CROSS,9.0,3.0,2.0,11.0,2.0,6.66,1700,1046.0,981.0,970.0,,65.0,11.0,5.9
4792,山田コンサルティンググループ(株),4,4,5,2019.04.15,BULLISH ONE WHITE SOLDIER,11.0,7.0,6.0,8.0,2.0,6.57,24700,2582.0,2423.0,2395.0,,159.0,28.0,5.67
6027,弁護士ドットコム(株),5,5,5,2019.04.15,BULLISH HARAMI,19.0,12.0,9.0,10.0,4.0,6.5,68600,4254.0,3995.0,3865.0,,259.0,130.0,1.99
4022,ラサ工業(株),4,5,4,2019.04.12,BEARISH ONE BLACK CROW,5.0,2.0,1.0,17.0,4.0,6.5,188100,1439.0,,1596.0,1539.0,100.0,57.0,1.75
7746,岡本硝子(株),5,4,4,2019.04.12,BULLISH HARAMI,27.0,11.0,8.0,10.0,3.0,6.45,609800,250.0,235.5,225.0,,14.0,11.0,1.27
9913,日邦産業(株),5,4,5,2019.04.15,BULLISH PIERCING LINE,6.0,3.0,1.0,21.0,1.0,6.33,24100,560.0,527.0,513.0,,33.0,14.0,2.35
5542,新報国製鉄(株),4,4,4,2019.04.15,BULLISH ENGULFING,10.0,6.0,4.0,11.0,4.0,6.0,5500,1287.0,1215.0,1191.0,,72.0,24.0,3.0
3053,(株)ペッパーフードサービス,4,4,5,2019.04.10,BULLISH ENGULFING,13.0,7.0,4.0,11.0,1.0,5.85,257900,2369.0,2239.0,2160.0,,130.0,79.0,1.64
4242,(株)タカギセイコー,5,5,5,2019.04.15,BULLISH HARAMI,12.0,6.0,3.0,13.0,2.0,5.5,29100,3499.0,3317.5,3165.0,,181.0,153.0,1.18
6376,日機装(株),5,5,4,2019.04.10,BEARISH DESCENDING HAWK,6.0,2.0,2.0,5.0,0.0,5.0,350600,1301.0,,1385.0,1369.0,68.0,16.0,4.25
4025,多木化学(株),5,5,5,2019.04.15,BULLISH HOMING PIGEON,10.0,5.0,5.0,5.0,0.0,5.0,27800,6205.0,5910.0,5840.0,,295.0,70.0,4.21
3054,株式会社ハイパー,5,4,5,2019.04.12,BEARISH DARK CLOUD COVER,11.0,7.0,5.0,7.0,0.0,5.0,19800,443.0,,478.0,466.0,23.0,12.0,1.91
2722,株式会社アイケイ,4,5,5,2019.04.15,BEARISH DARK CLOUD COVER,9.0,4.0,2.0,12.0,2.0,5.0,51900,532.0,,580.0,560.0,28.0,20.0,1.4
2488,日本サード・パーティ株式会社,5,4,4,2019.04.12,BEARISH ENGULFING,19.0,14.0,10.0,7.0,0.0,5.0,73000,845.0,,951.0,889.0,44.0,62.0,0.7
7777,株式会社スリー・ディー・マトリックス,5,5,4,2019.04.15,BULLISH ENGULFING,20.0,11.0,6.0,10.0,1.0,5.0,1803100,821.0,782.0,708.0,,39.0,74.0,0.52
2820,株式会社やまみ,5,4,5,2019.04.11,BULLISH ENGULFING,12.0,8.0,6.0,8.0,5.0,4.75,5600,2685.0,2564.0,2474.0,,121.0,90.0,1.34
3966,株式会社ユーザベース,4,5,5,2019.04.10,BEARISH ENGULFING,8.0,5.0,3.0,10.0,4.0,4.4,131700,2926.0,,3155.0,3060.0,134.0,95.0,1.41
3932,株式会社アカツキ,5,5,4,2019.04.15,BULLISH HARAMI,19.0,12.0,7.0,11.0,5.0,4.33,153600,5962.0,5715.0,5570.0,,247.0,145.0,1.7
2191,テラ(株),4,4,5,2019.04.15,BULLISH HARAMI,29.0,17.0,12.0,7.0,3.0,4.05,98400,280.0,270.0,267.0,,10.0,3.0,3.33
3143,オーウイル(株),4,5,4,2019.04.12,BULLISH HOMING PIGEON,7.0,2.0,2.0,4.0,0.0,4.0,6000,1181.0,1136.0,1131.0,,45.0,5.0,9.0
6193,バーチャレクス・コンサルティング株式会社,4,4,4,2019.04.11,BULLISH HARAMI,17.0,8.0,4.0,11.0,3.0,4.0,4100,740.0,712.0,698.0,,28.0,14.0,2.0
9872,北恵株式会社,4,4,4,2019.04.15,BULLISH HARAMI,20.0,12.0,8.0,7.0,2.0,3.99,4600,964.0,927.5,891.0,,36.0,37.0,0.97
2884,株式会社ヨシムラ・フード・ホールディングス,4,4,5,2019.04.11,BEARISH HARAMI,23.0,14.0,8.0,9.0,3.0,3.85,261000,583.0,,629.0,606.0,23.0,23.0,1.0
2930,株式会社北の達人コーポレーション,4,4,5,2019.04.11,BEARISH MEETING LINE,6.0,4.0,3.0,5.0,0.0,3.75,3649800,462.0,,485.0,480.0,18.0,5.0,3.6
7745,(株)エー・アンド・デイ,5,5,5,2019.04.04,BEARISH HARAMI CROSS,9.0,6.0,4.0,6.0,1.0,3.66,806900,776.0,,832.0,805.0,29.0,27.0,1.07
6071,株式会社IBJ,5,5,4,2019.04.12,BEARISH ENGULFING,18.0,12.0,7.0,9.0,4.0,3.58,634500,817.0,,877.0,847.0,30.0,30.0,1.0
3316,東京日産コンピュータシステム(株),5,4,5,2019.04.05,BULLISH HARAMI CROSS,12.0,9.0,5.0,8.0,2.0,3.55,11200,562.0,543.0,539.0,,19.0,4.0,4.75
9740,ＣＳＰ,5,5,5,2019.04.15,BEARISH HARAMI,20.0,13.0,8.0,7.0,2.0,3.53,179400,5200.0,,5650.0,5390.0,190.0,260.0,0.73
6857,(株)アドバンテスト,5,4,4,2019.04.11,BEARISH HARAMI,10.0,7.0,4.0,9.0,4.0,3.42,2777500,2941.0,,3115.0,3045.0,104.0,70.0,1.48
3900,(株)クラウドワークス,4,5,4,2019.04.08,BULLISH HARAMI,18.0,13.0,7.0,8.0,2.0,3.38,268200,2285.0,2210.5,2145.0,,74.0,66.0,1.12
4248,竹本容器(株),4,5,4,2019.04.15,BULLISH ONE WHITE SOLDIER,7.0,3.0,2.0,7.0,4.0,3.33,47600,1507.0,1459.0,1431.0,,48.0,28.0,1.71
6620,宮越ホールディングス(株),4,5,4,2019.04.12,BEARISH ENGULFING,15.0,8.0,6.0,5.0,2.0,3.25,51600,953.0,,995.0,985.0,32.0,10.0,3.2
7820,ニホンフラッシュ(株),4,4,4,2019.04.12,BEARISH HARAMI,23.0,13.0,6.0,8.0,1.0,3.15,27200,2154.0,,2283.0,2223.5,69.0,60.0,1.14
8909,(株)シノケングループ,4,4,4,2019.04.12,BULLISH HARAMI,24.0,11.0,7.0,6.0,2.0,3.09,226700,755.0,733.0,717.0,,22.0,16.0,1.37
3461,株式会社パルマ,5,5,5,2019.04.11,BULLISH ENGULFING,8.0,6.0,3.0,13.0,7.0,3.0,13800,719.0,699.0,681.0,,20.0,18.0,1.11
3185,夢展望,5,4,5,2019.03.29,BULLISH MEETING LINE,4.0,1.0,1.0,3.0,0.0,3.0,11100,497.0,483.0,470.0,,14.0,13.0,1.07
7707,プレシジョン・システム・サイエンス(株),5,5,4,2019.04.15,BULLISH HARAMI,20.0,12.0,6.0,7.0,1.0,3.0,363400,418.0,406.0,390.0,,12.0,16.0,0.75
3956,国際チャート株式会社,5,5,4,2019.04.09,BEARISH HARAMI,26.0,18.0,9.0,7.0,1.0,3.0,62000,335.0,,360.0,344.5,9.0,16.0,0.56
6894,パルステック工業(株),5,5,4,2019.04.12,BEARISH HARAMI,14.0,8.0,5.0,6.0,2.0,3.0,10700,3352.0,,3780.0,3455.0,103.0,325.0,0.31
3697,(株)ＳＨＩＦＴ,5,5,5,2019.04.15,BEARISH ENGULFING,19.0,16.0,11.0,7.0,6.0,2.93,624600,4539.0,,4790.0,4675.0,136.0,115.0,1.18
2122,株式会社インタースペース,4,4,4,2019.04.12,BEARISH HARAMI,28.0,16.0,6.0,11.0,2.0,2.87,7300,1483.0,,1584.0,1526.0,43.0,58.0,0.74
6256,(株)ニューフレアテクノロジー,5,5,4,2019.04.11,BEARISH HARAMI CROSS,10.0,4.0,3.0,4.0,1.0,2.75,21700,6511.0,,6750.0,6695.0,184.0,55.0,3.34
3667,(株)ｅｎｉｓｈ,5,4,4,2019.04.08,BEARISH HARAMI,20.0,16.0,10.0,5.0,1.0,2.75,6249700,557.0,,647.0,572.0,15.0,75.0,0.2
3139,株式会社ラクト・ジャパン,4,5,5,2019.04.12,BEARISH HARAMI,26.0,12.0,7.0,5.0,2.0,2.08,224500,7751.0,,8090.0,7915.0,164.0,175.0,0.93
8929,(株)青山財産ネットワークス,5,5,5,2019.04.15,BULLISH PIERCING LINE,5.0,4.0,3.0,3.0,1.0,2.0,52000,1535.0,1505.0,1488.0,,30.0,17.0,1.76
4820,(株)ＥＭシステムズ,4,4,4,2019.04.11,BEARISH DOJI STAR,8.0,4.0,3.0,3.0,1.0,2.0,77000,1292.0,,1347.0,1317.5,25.0,30.0,0.83
4743,株式会社アイティフォー,4,5,4,2019.04.15,BULLISH ONE WHITE SOLDIER,8.0,6.0,6.0,2.0,0.0,2.0,226900,939.0,921.0,896.0,,18.0,25.0,0.72
4875,メディシノバ,4,5,5,2019.04.15,BEARISH DARK CLOUD COVER,8.0,4.0,3.0,4.0,4.0,2.0,156800,1145.0,,1203.0,1168.0,23.0,35.0,0.65
3788,ＧＭＯクラウド(株),4,5,5,2019.04.11,BEARISH ONE BLACK CROW,3.0,2.0,1.0,4.0,0.0,2.0,59800,4229.0,,4475.0,4315.0,86.0,160.0,0.53
3907,シリコンスタジオ(株),5,5,4,2019.04.15,BULLISH PIERCING LINE,9.0,5.0,2.0,8.0,2.0,2.0,511700,2404.0,2357.0,2236.0,,47.0,121.0,0.38
4585,(株)ＵＭＮファーマ,5,5,5,2019.04.15,BEARISH DOJI STAR,5.0,2.0,2.0,2.0,0.0,2.0,680200,466.0,,515.0,475.0,9.0,40.0,0.22
3906,(株)ＡＬＢＥＲＴ,5,5,5,2019.04.15,BULLISH HARAMI,13.0,9.0,3.0,10.0,2.0,1.99,181900,13727.0,13460.0,12820.0,,267.0,640.0,0.41
7105,ニチユ三菱フォークリフト(株),4,5,4,2019.04.11,BEARISH ENGULFING,17.0,10.0,6.0,5.0,3.0,1.79,113700,1284.0,,1346.0,1307.0,23.0,39.0,0.58
4735,(株)京進,5,5,5,2019.04.11,BULLISH ENGULFING,13.0,7.0,5.0,4.0,4.0,1.71,23100,1160.0,1141.0,1091.0,,19.0,50.0,0.38
4591,(株)リボミック,5,5,4,2019.04.12,BEARISH ONE BLACK CROW,5.0,4.0,2.0,4.0,1.0,1.5,711800,657.0,,761.0,666.0,9.0,95.0,0.09
6976,太陽誘電(株),5,5,4,2019.04.11,BEARISH DOJI STAR,14.0,7.0,3.0,10.0,5.0,1.42,6793100,2413.0,,2477.0,2447.0,34.0,30.0,1.13
6099,(株)エラン,5,5,5,2019.04.11,BEARISH HARAMI,14.0,8.0,5.0,4.0,3.0,1.37,485000,1647.0,,1705.0,1669.0,22.0,36.0,0.61
3901,マークラインズ(株),4,5,5,2019.04.11,BEARISH HARAMI CROSS,7.0,3.0,2.0,4.0,4.0,1.33,144100,1449.0,,1510.0,1468.0,19.0,42.0,0.45
4776,サイボウズ(株),5,5,4,2019.04.11,BEARISH HARAMI,17.0,10.0,7.0,2.0,1.0,1.09,285300,973.0,,1020.0,983.0,10.0,37.0,0.27
9698,(株)クレオ,5,5,5,2019.04.12,BEARISH ENGULFING,16.0,12.0,7.0,4.0,3.0,1.08,116800,1303.0,,1376.0,1317.0,14.0,59.0,0.23
5821,平河ヒューテック株式会社,4,4,4,2019.04.11,BEARISH ONE BLACK CROW,4.0,2.0,1.0,3.0,1.0,1.0,34900,1410.0,,1460.0,1424.0,14.0,36.0,0.38
4286,(株)レッグス,4,5,4,2019.04.11,BEARISH HARAMI,22.0,15.0,9.0,3.0,2.0,0.99,96900,1130.0,,1209.0,1141.0,11.0,68.0,0.16
4924,(株)ドクターシーラボ,5,4,4,2019.02.27,BEARISH HARAMI CROSS,15.0,7.0,4.0,2.0,1.0,0.71,43000,5839.0,,5890.0,5880.0,41.0,10.0,4.09
6938,双信電機(株),5,4,5,2019.04.11,BEARISH ENGULFING,16.0,7.0,2.0,5.0,1.0,0.71,130900,561.0,,598.0,565.0,4.0,33.0,0.12
6184,株式会社鎌倉新書,5,5,5,2019.04.15,BULLISH PIERCING LINE,6.0,5.0,1.0,7.0,1.0,0.6,688100,1383.0,1375.0,1323.0,,8.0,52.0,0.15
4584,(株)ジーンテクノサイエンス,4,5,5,2019.04.15,BULLISH HARAMI,21.0,13.0,4.0,6.0,2.0,0.46,52000,844.0,841.0,820.0,,3.0,21.0,0.14
2162,日本マニュファクチャリングサービス(株),4,4,4,2019.04.12,BULLISH DOJI STAR,9.0,5.0,3.0,2.0,2.0,0.39,137200,441.0,439.5,431.0,,1.0,9.0,0.11
9828,元気寿司(株),4,5,4,2019.04.15,BULLISH ENGULFING,9.0,7.0,5.0,1.0,2.0,0.14,33400,4596.0,4590.0,4505.0,,6.0,85.0,0.07
3719,(株)ジェクシード,5,5,5,2019.04.15,BULLISH ONE WHITE SOLDIER,4.0,0.0,0.0,0.0,0.0,0.0,369000,125.0,125.0,118.0,,0.0,7.0,0.0
6777,ｓａｎｔｅｃ(株),5,5,5,2019.04.15,BULLISH ONE WHITE SOLDIER,4.0,0.0,0.0,0.0,0.0,0.0,361200,1930.0,1930.0,1830.0,,0.0,100.0,0.0
