ticker,buy,stop,sell
1301,2861.5,2796.0,
1332,785.5,775.0,
1333,3720.0,3685.0,
1343,2006.0,1997.0,
1344,707.0,701.0,
1345,1890.5,1882.0,
1357,1129.5,1121.0,
1360,2887.0,2791.0,
1366,2947.0,2925.0,
1368,3530.0,3485.0,
1377,3840.0,3745.0,
1379,,1999.0,
1386,,8030.0,
1420,825.0,813.0,
1433,1370.0,1329.0,
1439,,1100.0,
1446,991.5,985.0,
1447,375.0,370.0,
1448,519.0,502.0,
1456,6880.0,6840.0,
1459,4385.0,4355.0,
1476,1927.0,1916.0,
1478,1898.0,1886.0,
1482,2275.0,2265.0,
1488,1915.0,1902.0,
1497,2400.0,2390.0,
1552,10320.0,10170.0,
1559,,3375.0,
1560,,4220.0,
1569,3150.0,3135.0,
1571,1585.5,1579.0,
1580,4255.0,4245.0,
1595,1923.0,1912.0,
1597,1904.0,1891.0,
1621,22350.0,22250.0,
1627,8280.0,8180.0,
1656,2469.0,2465.0,
1659,,2170.0,
1660,10015.0,9950.0,
1678,164.0,163.0,
1689,4.0,3.0,
1711,480.0,465.0,
1716,1733.0,1721.0,
1717,484.5,473.0,
1719,713.0,700.0,
1720,798.0,793.0,
1722,762.0,752.0,
1770,788.0,774.0,
1775,1866.0,1861.0,
1776,731.0,688.0,
1782,5580.0,5420.0,
1793,4767.5,4745.0,
1799,1621.0,1619.0,
1801,4770.0,4725.0,
1803,934.5,926.0,
1811,5290.0,5220.0,
1812,1634.0,1613.0,
1814,940.0,927.0,
1820,2328.0,2292.0,
1824,1089.5,1075.0,
1826,407.0,400.0,
1840,162.0,159.0,
1847,1889.0,1865.0,
1848,438.5,430.0,
1852,2502.0,2470.0,
1861,3130.0,3070.0,
1865,918.0,907.0,
1866,3092.5,3065.0,
1867,2339.0,2308.0,
1870,790.5,777.0,
1871,671.0,661.0,
1879,979.0,963.0,
1883,2084.5,2063.0,
1885,1607.5,1571.0,
1888,1484.0,1468.0,
1890,444.0,431.0,
1898,593.0,585.0,
1909,1122.0,1112.0,
1914,365.5,357.0,
1926,1477.0,1445.0,
1929,587.0,580.0,
1930,884.0,861.0,
1934,806.0,795.0,
1939,2702.0,2660.0,
1941,2277.5,2254.0,
1942,932.5,926.0,
1944,1877.0,1814.0,
1945,976.5,957.0,
1952,1760.0,1728.0,
1954,2474.5,2428.0,
1959,3060.0,3020.0,
1967,519.5,505.0,
1972,2802.0,2786.0,
1975,2923.5,2896.0,
1976,758.0,746.0,
1980,2449.5,2406.0,
2009,771.5,764.0,
2034,10310.0,10260.0,
2039,6895.0,6870.0,
2046,10960.0,10800.0,
2055,277.0,269.0,
2060,174.0,171.0,
2107,1013.0,1003.0,
2114,565.5,564.0,
2117,2038.0,2025.0,
2121,2579.0,2545.0,
2134,69.5,68.0,
2136,993.0,969.0,
2138,1750.0,1746.0,
2139,559.5,551.0,
2158,535.0,520.0,
2159,548.5,535.0,
2164,988.0,924.0,
2168,1690.5,1666.0,
2169,1237.0,1230.0,
2173,722.0,706.0,
2175,1851.0,1791.0,
2185,2095.0,2054.0,
2193,269.0,266.0,
2201,4802.5,4690.0,
2206,5825.0,5710.0,
2207,1449.0,1438.0,
2209,2409.0,2355.0,
2215,1024.0,1008.0,
2220,5250.0,5210.0,
2224,2369.0,2353.0,
2266,2136.0,2078.0,
2267,7710.0,7630.0,
2270,2446.5,2427.0,
2288,1915.0,1878.0,
2291,2112.0,2105.0,
2292,4025.0,3960.0,
2294,2141.0,2119.0,
2296,678.0,671.0,
2300,532.5,525.0,
2305,2247.5,2217.0,
2325,1500.0,1470.0,
2329,605.0,602.0,
2338,,419.0,
2340,586.0,574.0,
2342,476.5,458.0,
2344,861.0,835.0,
2352,1325.0,1299.0,
2354,376.0,366.0,
2376,700.0,688.0,
2406,482.0,480.0,
2408,429.5,426.0,
2410,1297.0,1265.0,
2411,477.0,466.0,
2412,2133.0,2085.0,
2415,1905.0,1864.0,
2417,,698.0,
2418,605.0,602.0,
2424,613.5,604.0,
2425,590.0,583.0,
2428,1078.0,1069.0,
2432,1667.0,1636.0,
2440,661.0,646.0,
2461,580.0,572.0,
2475,,3165.0,
2481,411.0,401.0,
2483,2553.0,2501.0,
2487,1316.0,1302.0,
2501,2395.5,2380.0,
2503,2560.0,2527.5,
2511,957.5,954.0,
2515,1041.0,1036.0,
2531,1296.0,1277.0,
2540,2107.0,2087.0,
2579,2734.0,2686.0,
2586,387.0,375.0,
2588,1739.0,1670.0,
2590,5040.0,5010.0,
2594,2079.0,2051.0,
2597,1005.5,1000.0,
2602,3290.0,3260.0,
2612,5230.0,5130.0,
2613,4065.0,4015.0,
2651,5980.0,5820.0,
2653,1961.5,1950.0,
2654,375.0,372.0,
2659,4115.0,4055.0,
2666,125.0,123.0,
2670,6410.0,6140.0,
2673,119.0,117.0,
2674,800.0,788.0,
2676,965.5,955.0,
2681,1497.0,1481.0,
2685,2853.0,2783.0,
2687,717.0,697.0,
2694,75.0,74.0,
2702,5040.0,4995.0,
2708,922.0,910.0,
2722,559.0,545.0,
2734,608.5,597.0,
2737,2446.0,2431.0,
2743,288.0,280.0,
2747,3017.5,3010.0,
2749,308.0,300.0,
2753,3585.0,3510.0,
2763,1374.0,1351.0,
2768,386.0,382.0,
2773,896.0,890.0,
2776,133.5,126.0,
2782,3752.5,3695.0,
2784,3075.0,3015.0,
2790,1540.0,1531.0,
2796,537.0,533.0,
2806,1815.0,1810.0,
2811,3030.0,2998.0,
2820,2564.0,2474.0,
2830,2292.0,2281.0,
2831,2600.0,2585.0,
2874,865.0,857.0,
2875,4215.0,4160.0,
2882,1652.5,1642.0,
2883,1729.0,1726.0,
2894,209.0,207.0,
2899,2336.0,2315.0,
2901,172.0,169.0,
2907,971.5,960.0,
2911,2174.0,2140.0,
2914,2625.5,2603.5,
2929,495.5,491.0,
2970,1612.0,1532.0,
3002,4665.0,4565.0,
3003,1000.0,987.0,
3020,1568.0,1565.0,
3021,1070.0,1031.0,
3023,845.0,836.0,
3028,1696.0,1671.0,
3035,356.0,350.0,
3040,1038.5,1021.0,
3042,835.0,814.0,
3053,2239.0,2160.0,
3059,951.0,941.0,
3068,1717.0,1700.0,
3070,325.0,316.0,
3071,96.0,95.0,
3085,2039.0,2015.0,
3087,2073.0,2046.0,
3088,3530.0,3460.0,
3091,2577.5,2533.0,
3096,876.0,870.0,
3098,4325.0,4260.0,
3099,1064.0,1051.0,
3103,452.5,445.0,
3110,2176.0,2141.0,
3111,546.0,538.0,
3113,157.0,153.0,
3121,332.0,317.0,
3131,1293.0,1287.0,
3138,680.5,673.0,
3150,1726.0,1712.0,
3151,1108.0,1077.0,
3154,726.0,720.0,
3156,1903.0,1890.0,
3166,1209.0,1202.0,
3172,912.5,902.0,
3178,2616.0,2579.0,
3182,1703.0,1638.0,
3185,483.0,470.0,
3186,,1197.0,
3189,801.0,771.0,
3191,1336.0,1317.0,
3195,973.0,955.0,
3196,1623.0,1545.0,
3198,1852.5,1835.0,
3199,2294.0,2272.0,
3204,456.0,453.0,
3221,3225.0,3150.0,
3224,1075.5,1050.0,
3226,563000.0,552000.0,
3231,,2186.0,
3241,295.5,292.0,
3242,342.0,341.0,
3244,1515.0,1457.0,
3252,1478.5,1471.0,
3258,2024.0,1981.0,
3261,428.0,425.0,
3264,163.0,160.0,
3266,104.0,102.0,
3277,747.0,737.0,
3278,172450.0,170400.0,
3282,287500.0,282400.0,
3284,641.0,619.0,
3287,552500.0,545000.0,
3290,280500.0,277700.0,
3291,2026.0,1997.0,
3293,1528.5,1526.0,
3294,682.0,670.0,
3302,2606.0,2545.0,
3306,343.0,341.0,
3309,82700.0,82100.0,
3315,102.0,101.0,
3316,543.0,539.0,
3317,1665.0,1631.0,
3333,1349.5,1322.0,
3341,3815.0,3690.0,
3344,623.5,612.0,
3349,,19180.0,
3358,239.0,235.0,
3361,865.0,842.0,
3370,906.5,885.0,
3371,1562.0,1547.0,
3372,401.0,398.0,
3377,185.0,183.0,
3382,3943.0,3872.0,
3390,71.5,70.0,
3395,2523.0,2507.0,
3396,,1113.0,
3405,1474.0,1449.0,
3408,1808.0,1780.0,
3415,917.5,866.0,
3417,992.0,975.0,
3420,1669.0,1649.0,
3423,285.0,280.0,
3431,1870.0,1842.0,
3433,962.0,945.0,
3435,1081.0,1060.0,
3443,7380.0,7150.0,
3444,791.0,781.0,
3454,1086.0,1065.0,
3458,913.5,894.0,
3459,98100.0,96800.0,
3461,699.0,681.0,
3463,133500.0,132100.0,
3467,526.0,519.0,
3468,106150.0,105100.0,
3469,569.0,556.0,
3470,111400.0,110600.0,
3471,342500.0,328500.0,
3476,197700.0,195900.0,
3477,787.0,776.0,
3478,132500.0,131200.0,
3480,3765.0,3715.0,
3484,1605.0,1568.0,
3487,110100.0,108600.0,
3489,1016.0,987.0,
3492,92400.0,92100.0,
3494,1470.5,1421.0,
3496,5200.0,4735.0,
3513,,1393.0,
3526,1595.0,1581.0,
3538,907.5,900.0,
3539,1802.5,1785.0,
3542,744.0,718.0,
3543,2109.0,2092.0,
3558,1357.0,1300.0,
3559,1299.5,1268.0,
3562,722.0,710.0,
3564,1348.0,1335.0,
3571,984.0,974.0,
3577,1090.0,1064.0,
3591,2753.0,2723.0,
3604,389.5,381.0,
3606,103.0,101.0,
3622,628.0,620.0,
3624,520.5,511.0,
3628,,1919.0,
3630,3357.5,3315.0,
3633,2759.5,2706.0,
3635,2048.0,2002.0,
3636,3395.0,3350.0,
3639,567.0,561.0,
3641,2227.0,2187.0,
3645,581.5,566.0,
3648,741.0,724.0,
3656,820.0,802.0,
3662,1763.5,1753.0,
3666,725.0,710.0,
3668,668.0,659.0,
3670,1779.0,1720.0,
3672,298.5,292.0,
3673,563.5,559.0,
3675,407.0,398.0,
3679,556.0,543.0,
3683,1073.0,1057.0,
3692,3085.0,3035.0,
3695,1766.5,1740.0,
3697,,4790.0,
3698,3655.0,3430.0,
3708,4130.0,4080.0,
3712,2017.0,1992.0,
3719,130.0,127.0,
3726,504.0,500.0,
3727,189.0,186.0,
3733,9470.0,9250.0,
3738,1872.0,1832.0,
3744,469.5,461.0,
3751,318.0,313.0,
3765,377.0,363.0,
3766,614.0,609.0,
3771,2959.0,2906.0,
3793,523.0,504.0,
3803,622.0,617.0,
3804,650.0,645.0,
3814,1686.0,1653.0,
3816,1306.0,1289.0,
3823,191.0,187.0,
3836,1555.0,1526.0,
3842,2107.5,2010.0,
3850,3340.0,3320.0,
3852,2135.0,2082.0,
3853,898.0,882.0,
3854,940.0,917.0,
3857,,1518.0,
3858,922.0,896.0,
3865,639.0,633.0,
3878,,1033.0,
3900,2210.5,2145.0,
3904,770.0,732.0,
3905,672.0,658.0,
3906,13950.0,13710.0,
3907,2427.5,2332.0,
3910,539.0,521.0,
3911,366.0,361.0,
3912,1356.0,1322.0,
3913,801.0,791.0,
3917,984.0,953.0,
3920,1340.0,1303.0,
3921,924.0,905.0,
3925,5180.0,5040.0,
3927,930.0,887.0,
3930,4195.0,4000.0,
3932,6140.0,6000.0,
3934,876.5,866.0,
3936,,2052.0,
3941,1005.5,983.0,
3947,1544.0,1516.0,
3948,413.0,406.0,
3950,,3635.0,
3963,626.5,619.0,
3964,,1280.0,
3967,1800.0,1729.0,
3976,1345.0,1322.0,
3981,984.0,965.0,
3988,920.0,891.0,
3989,1401.0,1351.0,
3998,4105.0,4030.0,
4025,5930.0,5830.0,
4027,2506.0,2470.0,
4061,3255.0,3200.0,
4094,1107.0,1088.0,
4098,2351.0,2311.0,
4100,2284.0,2275.0,
4118,4395.0,4315.0,
4151,2409.5,2361.0,
4183,2859.0,2802.0,
4205,1161.0,1149.0,
4212,2051.5,1997.0,
4218,2261.0,2222.0,
4222,622.0,614.0,
4228,901.0,887.0,
4231,596.0,589.0,
4234,498.5,494.0,
4235,2470.0,2395.0,
4240,407.0,402.0,
4241,1127.0,1103.0,
4242,3760.0,3655.0,
4288,2123.0,2083.0,
4295,879.0,862.0,
4298,2032.0,1991.0,
4304,838.5,821.0,
4308,467.0,462.0,
4310,1597.0,1584.0,
4312,569.0,562.0,
4318,1699.0,1680.0,
4320,771.5,770.0,
4321,556.0,547.0,
4324,4700.0,4645.0,
4331,1377.0,1316.0,
4335,912.0,888.0,
4337,4585.0,4510.0,
4341,807.0,802.0,
4343,,2993.0,
4347,76.0,75.0,
4348,1750.0,1715.0,
4350,500.0,478.0,
4355,378.0,374.0,
4361,1020.0,1010.0,
4364,520.0,510.0,
4366,342.0,335.0,
4367,1730.5,1717.0,
4368,2009.0,1982.0,
4381,4720.0,4650.0,
4384,3950.0,3845.0,
4387,3710.0,3645.0,
4392,,330.0,
4394,3272.5,3220.0,
4409,410.0,405.0,
4425,20730.0,18410.0,
4452,8600.0,8510.0,
4462,1760.0,1725.0,
4464,940.0,930.0,
4502,4710.0,4604.0,
4503,1621.5,1612.0,
4506,2629.5,2598.0,
4512,282.0,278.0,
4514,1145.0,1135.0,
4517,,2356.0,
4519,7110.0,7030.0,
4521,5045.0,5010.0,
4528,2067.5,2026.0,
4530,5110.0,4990.0,
4534,5530.0,5390.0,
4541,1487.0,1467.0,
4544,2723.5,2686.0,
4547,2804.0,2772.0,
4548,1188.0,1164.0,
4550,1178.0,1163.0,
4551,2187.0,2159.0,
4554,1737.0,1686.0,
4555,6500.0,6370.0,
